date,value,first_diff,pct_change_mom,zscore_value,zscore_first_diff,zscore_pct_change_mom,minmax_value,minmax_first_diff,minmax_pct_change_mom
2001-07-19,8.42,-0.02999999999999936,-0.35502958579880506,1.2583089291110823,-0.29856278614661363,-0.21266214668012456,0.30963420917053064,0.3983739837398382,0.3564454543382196
2001-07-20,8.39,-0.02999999999999936,-0.3562945368170922,1.2464929952184183,-0.29856278614661363,-0.21338974941166095,0.30808861411643484,0.3983739837398382,0.35640214090465244
2001-07-23,8.37,-0.02000000000000135,-0.23837902264601807,1.2386157059566416,-0.19901544529502244,-0.14556447478753987,0.3070582174137042,0.40243902439024387,0.3604397089335716
2001-07-24,8.37,0.0,0.0,1.2386157059566416,7.923640821300963e-05,-0.008448313362515497,0.3070582174137042,0.4105691056910574,0.36860209135938354
2001-07-25,8.31,-0.05999999999999872,-0.7168458781361853,1.2149838381713136,-0.5972048087014403,-0.4207797091889947,0.3039670273055126,0.38617886178861893,0.3440564323799722
2001-07-26,8.27,-0.040000000000000924,-0.48134777376656057,1.199229259647761,-0.3981101269982402,-0.28532065857453376,0.3019062339000515,0.39430894308943104,0.3521201687233881
2001-07-27,8.28,0.009999999999999787,0.12091898428052694,1.203167904278649,0.0996265772598219,0.06110456416806813,0.30242143225141677,0.41463414634146384,0.3727425017918235
2001-07-30,8.32,0.040000000000000924,0.48309178743961567,1.2189224828022016,0.3982685998146662,0.2694271925205538,0.3044822256568779,0.4268292682926838,0.3851437311063786
2001-07-31,8.27,-0.05000000000000071,-0.6009615384615419,1.199229259647761,-0.4976574678498491,-0.35412277080118987,0.3019062339000515,0.3902439024390246,0.34802445056835
2001-08-01,8.09,-0.17999999999999972,-2.1765417170495738,1.1283336562917754,-1.7917728989207824,-1.2604001089130719,0.2926326635754765,0.33739837398374045,0.294074703575462
2001-08-02,7.95,-0.13999999999999968,-1.7305315203955507,1.0731926314593423,-1.393583535514338,-1.0038540192328882,0.2854198866563627,0.3536585365853665,0.309346625368294
2001-08-03,7.92,-0.03000000000000025,-0.37735849056603765,1.061376697566678,-0.29856278614662246,-0.22550578399570445,0.28387429160226685,0.3983739837398378,0.35568088597210823
2001-08-06,7.91,-0.009999999999999787,-0.12626262626261875,1.05743805293579,-0.09946810444339586,-0.08107486603649487,0.2833590932509016,0.406504065040651,0.36427870824369196
2001-08-07,7.87,-0.040000000000000036,-0.5056890012642201,1.0416834744122376,-0.3981101269982314,-0.2993217885473186,0.28129829984544047,0.3943089430894314,0.35128669602371765
2001-08-08,7.95,0.08000000000000007,1.016518424396451,1.0731926314593423,0.7964579632211019,0.5762554194740342,0.2854198866563627,0.44308943089430947,0.40340889621456005
2001-08-09,7.93,-0.020000000000000462,-0.2515723270440362,1.065315342197566,-0.1990154452950136,-0.15315329378464784,0.2843894899536321,0.4024390243902442,0.35998795443453296
2001-08-10,7.99,0.0600000000000005,0.7566204287515754,1.0889472099828947,0.597363281517884,0.4267614953471568,0.2874806800618238,0.43495934959349664,0.3945096784536682
2001-08-13,8.07,0.08000000000000007,1.001251564455563,1.1204563670299994,0.7964579632211019,0.5674738865653415,0.291602266872746,0.44308943089430947,0.40288614069733536
2001-08-14,8.04,-0.030000000000001137,-0.3717472118959231,1.1086404331373347,-0.29856278614663134,-0.2222781636145489,0.29005667181865014,0.39837398373983746,0.35587302285519
2001-08-15,7.96,-0.07999999999999918,-0.995024875621886,1.0771312760902303,-0.7962994904046669,-0.5807889075694291,0.28593508500772796,0.3780487804878057,0.3345312512834836
2001-08-16,8.01,0.04999999999999982,0.6281407035175768,1.0968244992446707,0.4978159406662662,0.35285966225176885,0.28851107676455434,0.43089430894308983,0.3901103792213678
2001-08-17,8.11,0.09999999999999964,1.2484394506866447,1.1362109455535514,0.9955526449243196,0.7096569265600217,0.29366306027820704,0.4512195121951223,0.4113501491325167
2001-08-20,8.07,-0.03999999999999915,-0.4932182490752002,1.1204563670299994,-0.3981101269982225,-0.2921485832406574,0.291602266872746,0.39430894308943176,0.35171370947219316
2001-08-21,8.12,0.049999999999998934,0.6195786864931607,1.1401495901844394,0.4978159406662574,0.347934770390848,0.2941782586295723,0.4308943089430895,0.38981720553303795
2001-08-22,8.11,-0.009999999999999787,-0.12315270935960854,1.1362109455535514,-0.09946810444339586,-0.07928603468985085,0.29366306027820704,0.406504065040651,0.364385195512551
2001-08-23,8.15,0.040000000000000924,0.4932182490752224,1.151965524077104,0.3982685998146662,0.27525195651563916,0.2957238536836682,0.4268292682926838,0.3854904732465747
2001-08-24,8.13,-0.019999999999999574,-0.24539877300613355,1.144088234815328,-0.19901544529500476,-0.14960225132029403,0.2946934569809377,0.4024390243902446,0.36019934429771994
2001-08-27,8.14,0.009999999999999787,0.12300123001229846,1.148026879446216,0.0996265772598219,0.062302276696272085,0.29520865533230295,0.41463414634146384,0.37281380037245604
2001-08-28,8.19,0.049999999999998934,0.6142506142505999,1.167720102600656,0.4978159406662574,0.3448700509973969,0.2977846470891293,0.4308943089430895,0.38963476597626245
2001-08-29,8.23,0.040000000000000924,0.48840048840050887,1.183474681124209,0.3982685998146662,0.27248076950829037,0.29984544049459044,0.4268292682926838,0.3853255073673352
2001-08-30,8.23,0.0,0.0,1.183474681124209,7.923640821300963e-05,-0.008448313362515497,0.29984544049459044,0.4105691056910574,0.36860209135938354
2001-08-31,8.05,-0.17999999999999972,-2.1871202916160404,1.1125790777682234,-1.7917728989207824,-1.2664849293045717,0.29057187017001546,0.33739837398374045,0.2937124805485655
2001-09-03,8.04,-0.010000000000001563,-0.12422360248449671,1.1086404331373347,-0.09946810444341354,-0.0799020148753186,0.29005667181865014,0.4065040650406503,0.3643485268530126
2001-09-04,7.87,-0.16999999999999904,-2.1144278606965106,1.0416834744122376,-1.6922255580691645,-1.2246720760522087,0.28129829984544047,0.34146341463414726,0.2962015561980961
2001-09-05,7.95,0.08000000000000007,1.016518424396451,1.0731926314593423,0.7964579632211019,0.5762554194740342,0.2854198866563627,0.44308943089430947,0.40340889621456005
2001-09-06,8.09,0.13999999999999968,1.7610062893081757,1.1283336562917754,1.393742008330764,1.0044865495923663,0.2926326635754765,0.4674796747967483,0.428901049833335
2001-09-07,8.22,0.13000000000000078,1.6069221260816002,1.179536036493321,1.2941946674791638,0.9158569849456978,0.2993302421432252,0.46341463414634226,0.4236250240653958
2001-09-10,8.22,0.0,0.0,1.179536036493321,7.923640821300963e-05,-0.008448313362515497,0.2993302421432252,0.4105691056910574,0.36860209135938354
2001-09-14,9.41,1.1899999999999995,14.476885644768856,1.648234747569003,11.846212797749917,8.318689565491031,0.36063884595569295,0.894308943089431,0.8643079452373968
2001-09-17,9.58,0.16999999999999993,1.8065887353878818,1.7151917062941002,1.6923840308855993,1.0307056772884033,0.3693972179289026,0.4796747967479679,0.43046184722513825
2001-09-18,9.51,-0.07000000000000028,-0.7306889352818424,1.6876211938778836,-0.6967521495530667,-0.42874226745914235,0.36579082946934566,0.3821138211382118,0.34358242957087015
2001-09-19,9.6,0.08999999999999986,0.9463722397476282,1.7230689955558762,0.8960053040727107,0.5359071729257627,0.37042761463163315,0.4471544715447159,0.4010070070782599
2001-09-20,9.69,0.08999999999999986,0.9374999999999911,1.758516797233869,0.8960053040727107,0.5308038402418084,0.37506439979392064,0.4471544715447159,0.40070321099339534
2001-09-21,9.89,0.20000000000000107,2.063983488132104,1.837289689851631,1.9910260534404436,1.1787597303484305,0.3853683668212262,0.4918699186991879,0.4392753509595481
2001-09-24,9.95,0.05999999999999872,0.6066734074822833,1.860921557636959,0.5973632815178663,0.3405116242580689,0.3884595569294178,0.4349593495934959,0.38937531336723696
2001-09-25,9.88,-0.06999999999999851,-0.7035175879396838,1.833351045220743,-0.6967521495530491,-0.4131132460505127,0.38485316846986095,0.3821138211382125,0.34451280895396125
2001-09-26,9.97,0.08999999999999986,0.9109311740890691,1.8687988468987358,0.8960053040727107,0.515521390544525,0.3894899536321484,0.4471544715447159,0.3997934626636868
2001-09-27,10.07,0.09999999999999964,1.0030090270812364,1.9081852932076164,0.9955526449243196,0.5684847831048332,0.39464193714580115,0.4512195121951223,0.4029463183165344
2001-09-28,10.25,0.17999999999999972,1.7874875868917561,1.979080896563602,1.791931371737208,1.0197186527946946,0.4039155074703761,0.48373983739837434,0.4298078010885824
2001-09-30,10.18,-0.07000000000000028,-0.6829268292682933,1.951510384147385,-0.6967521495530667,-0.401269394362092,0.4003091190108191,0.3821138211382118,0.3452178611219243
