combination,K,regime,significant_variables
all_4vars,3,0,None
all_4vars,3,1,None
all_4vars,3,2,None
all_4vars,4,0,None
all_4vars,4,1,None
all_4vars,4,2,None
all_4vars,4,3,None
all_4vars,5,0,None
all_4vars,5,1,None
all_4vars,5,2,None
all_4vars,5,3,None
all_4vars,5,4,None
all_4vars,6,0,None
all_4vars,6,1,None
all_4vars,6,2,None
all_4vars,6,3,None
all_4vars,6,4,None
all_4vars,6,5,None
