Model,Regime,R²,Adj R²,RMSE,N_effective,N_observations,N_variables,Avg_weight
2x2 Regimes,0,0.1959275735366088,0.0633881625811048,0.038183326853172,107.0,107,15,1.0
2x2 Regimes,1,0.151750630497962,-0.05347099115575693,0.0311536925419791,78.0,78,15,1.0
2x2 Regimes,2,0.2371438835192336,0.07367471570192663,0.0305947374731642,86.0,86,15,1.0
2x2 Regimes,3,0.2921734517340673,0.13829811515451673,0.0431667263868406,85.0,85,15,1.0
HMM Inflation_Market_Volatility K=4,0,0.1109728342155628,-0.03693154631602891,0.0334617025234809,106.16235650923242,356,15,0.2982088665989675
HMM Inflation_Market_Volatility K=4,1,0.1191962461260102,-0.0705529341328266,0.039854791028327,85.62905605224367,356,15,0.2405310563265271
HMM Inflation_Market_Volatility K=4,2,0.1218887781365409,-0.05068054576718928,0.0389716357376836,92.32682350485338,356,15,0.2593450098450938
HMM Inflation_Market_Volatility K=4,3,0.16739872769243,-0.05609133785806919,0.0438695676442099,71.88176393367053,356,15,0.2019150672294116
