combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations,n_effective,avg_weight,r_squared,rmse
2x2_growth_inflation,4,0,industrial_production,0.0049766333371434,0.2362715486819453,0.8137529570785988,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,retail_sales,-0.0791362574114091,-0.6253661260159519,0.5332959577306005,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,tot_business_inventories,-0.026462400703414,-0.4379830573774161,0.662436445552594,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,export_price_index,0.0541238906807109,0.9944807927567356,0.3226259036956866,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,import_price_index,-0.004379183847245,-0.0639861498718492,0.949121602064832,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,unemployment,0.0092157366539574,0.5267636678292935,0.5996394285994628,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,cpi,0.563337893815293,1.2572124751202058,0.2118938285418403,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,PCE_price_index,-0.4810195692496442,-1.1021053658073,0.2733222088413183,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,PPI_inflation,-0.061403986393628,-0.6028936167938499,0.5480790659712786,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,nat_fin_condition_indx,-0.0182043294181473,-3.0986869557358787,0.0025860018157066,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,10y_2y_spread,-0.0083288417363431,-0.5332212250267772,0.595180356742091,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,10y_treasury_const_maturity_rate,0.0162950784685158,0.8103400561753233,0.4198588680194115,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,fed_reserve_discount_rate,0.0298951456351851,0.7515282426918954,0.4542740739207351,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,fedfunds,-0.0285937214497057,-0.5300943902783007,0.5973375775925485,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,0,m2_real_money_supply,0.0544788465651139,0.8289098900400212,0.4093243317482806,107,107.0,1.0,0.1959275735366088,0.038183326853172
2x2_growth_inflation,4,1,industrial_production,0.0208336463410165,0.5792919307802362,0.5644911537644139,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,retail_sales,7.653279983818756e-05,0.0008283932622662,0.9993416975712424,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,tot_business_inventories,-0.0513326856774971,-0.6621644356737174,0.5103197216961517,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,export_price_index,0.0720517938200771,1.4859209902617887,0.1423675438977225,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,import_price_index,0.0082077712294765,0.1881116941108474,0.8514034308833325,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,unemployment,0.0072300244417879,0.478192713234884,0.6341949197592671,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,cpi,-0.1165257196838467,-0.2357734850884775,0.8143855446291235,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,PCE_price_index,0.1498834935990351,0.3040468469707511,0.7621103150128357,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,PPI_inflation,-0.1270593357207262,-1.3512708258137909,0.1815190015959265,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,nat_fin_condition_indx,0.0004719521732008,0.06456563992204,0.948727570864316,78,78.0,1.0,0.151750630497962,0.0311536925419791
2x2_growth_inflation,4,1,10y_2y_spread,-0.0011832059577591,-0.0824402934449062,0.93456217575685,78,78.0,1.0,0.151750630497962,0.0311536925419791
