combination,K,regime,avg_weight,r_squared,10y_2y_spread,10y_treasury_const_maturity_rate,PCE_price_index,PPI_inflation,cpi,export_price_index,fed_reserve_discount_rate,fedfunds,import_price_index,industrial_production,m2_real_money_supply,nat_fin_condition_indx,retail_sales,tot_business_inventories,unemployment
2vars_growth_inflation,2,0,0.6903157087521309,0.078787749672903,-0.00185103590949,0.0010683436123347,0.075345162275375,-0.0744607318997378,-0.0540023685547357,0.0401180669000306,0.025184285347012,-0.0221558048338755,-0.0005775481212875,0.0090940789720362,0.0146884252580502,-0.0066109052789448,-0.0074528896266651,0.0038451226720806,0.0120859492412668
2vars_growth_inflation,2,1,0.3096842912478691,0.2104265383211996,-0.0066940892078084,0.0070006594226239,-0.0676095630630197,-0.0458699522716705,0.0634177670087106,0.0416368309232889,0.0261106879049635,-0.02727295927263,-0.0167131327551551,0.003907101411053,-0.0046005250136756,-0.0096351420591129,0.0166096219313626,0.0155068755280888,0.0208760830109967
2vars_growth_inflation,3,0,0.538891955000804,0.0804459523620509,-0.0014986154368729,0.0004187404297674,0.0723391436661315,-0.0751320152720066,-0.050321346031856,0.0406487706474354,0.0251945018288197,-0.0213773424040546,-0.0005140005066857,0.0097548284615811,0.0164163021270757,-0.0071074657598482,-0.0102755542333329,0.0038091720363185,0.0118159471819747
2vars_growth_inflation,3,1,0.2468615654664759,0.1883918804594618,-0.0064534627114858,0.0059114228082204,-0.0057066486903894,-0.0537289016862371,0.0097365366025719,0.0412417349217418,0.0229760155810825,-0.0251878842376165,-0.0123668476750722,0.0015128890961695,-0.0114886661081585,-0.0090213306270017,0.031367369183884,0.0037975535858778,0.0185549850201553
2vars_growth_inflation,3,2,0.21424647953272,0.1547587552005815,-0.0041091977763583,0.0044820546969611,0.0051725476369386,-0.0592492008237207,-0.0014478987710071,0.0377054763389905,0.0257224304735152,-0.0236614815838586,-0.0084396886471197,0.0087600075449573,0.0082065109370207,-0.0082791023012642,-0.0017884294981003,0.0193145509538183,0.0189096762359788
2vars_growth_inflation,4,0,0.443379181411404,0.0817610370101596,-0.0011946194798646,0.0008753726823702,0.0588682165998013,-0.0789432917724794,-0.0337000678286639,0.0440813768055795,0.0277592822034121,-0.0233585894801637,-0.0033637244565356,0.0089342684496156,0.0140150342889067,-0.0072411893431145,-0.0100172854066987,0.0069088529741264,0.0131434338470699
2vars_growth_inflation,4,1,0.1767791645658931,0.1553347860015412,-0.0040410648039113,0.0043871770850396,0.0042392711937631,-0.0591576406471717,7.774970045959614e-06,0.0381767554890938,0.0259382056890649,-0.0237115631817166,-0.0089748699395686,0.0086864922442342,0.0082149339595343,-0.0082252851664075,-0.0022500188386785,0.0192219125980942,0.0188722982429869
2vars_growth_inflation,4,2,0.1860975742957271,0.1281773109177745,-0.0046372485542416,0.003763948637839,0.0318318400480041,-0.0496542582968884,-0.0334448926003179,0.0338589822868435,0.0190068863764309,-0.0189332184181878,-0.0063703637263695,0.0068832851094082,0.0056332846799251,-0.0070563606127798,0.010770869643058,0.0073518731993927,0.0155394558490694
2vars_growth_inflation,4,3,0.1937440797269755,0.1876271767021154,-0.0059289320804173,0.0045122762767525,0.0168201143537018,-0.0600896314446372,-0.0136281460152628,0.042537257570442,0.0250152579079045,-0.0263515198540348,-0.0107385918860671,0.0032668408810708,-0.0095908192333749,-0.0092740449680097,0.0293055099857783,0.0058106316057303,0.0185248638050759
2vars_growth_inflation,5,0,0.1632687131308599,0.1908301203835397,-0.0059794839901528,0.0033298407549191,0.0153930965666016,-0.0555527856285848,-0.0196029134154118,0.0419720898838258,0.0241176451503838,-0.0256201449161773,-0.0121696036413137,0.0050621130469826,-0.0079397335760342,-0.0095920071142044,0.0265121947896965,0.00926271220323,0.0186052993432682
2vars_growth_inflation,5,1,0.1738006751246296,0.1091538843595286,-0.0018719801079729,0.0051198923240371,0.0655352453057324,-0.0709901884338463,-0.0623728196688237,0.0372022481152402,0.0240347137261667,-0.0228789849551683,-0.0038036420460367,0.0048487539072801,-0.0068805224370912,-0.0062209513220309,0.0288183672543494,0.0145479308123869,0.0180644274811677
2vars_growth_inflation,5,2,0.356453061116988,0.0838586444022482,-0.0024750904956568,0.0008974016757867,0.0551533652773109,-0.0756560069186008,-0.0231299772072535,0.0419796380045034,0.0269408461039519,-0.022986283279919,-0.0007893058764013,0.0100710689647996,0.0220631730715923,-0.0077486553079416,-0.0227700757011249,0.0005698829804141,0.0113121660576614
2vars_growth_inflation,5,3,0.1557485148741328,0.1351169883516817,-0.0039225633890431,0.0031087779225796,0.0088328187694272,-0.0522462615217588,-0.0088618255314345,0.037809701472156,0.0220585000310345,-0.0204194809569457,-0.0096860276635936,0.0059254439123542,0.0042067353420279,-0.0076800200085235,0.0106371347977921,0.0099845703984899,0.0163613429235995
2vars_growth_inflation,5,4,0.1507290357533896,0.1549741901087749,-0.0039918750094273,0.0042183839552217,-0.0044219434203275,-0.0593630122738567,0.0089692034348059,0.0385004467086859,0.0262663721383846,-0.0239346809819087,-0.0090281850856821,0.0084119189150188,0.0083748245127054,-0.0082767116580522,-0.0027327281526644,0.0193169307156335,0.0187550921460021
2vars_growth_inflation,6,0,0.3106111110957997,0.0831138070415868,-0.0025625889642794,0.0010976322959645,0.0500585815662287,-0.0752150837414922,-0.0176494930024854,0.0419061517047332,0.0271269130094042,-0.0233967641198392,-0.000906907690533,0.0097311610942243,0.0214165033956159,-0.0078223141664231,-0.0227465483652138,0.0007879429911787,0.0112418315178631
2vars_growth_inflation,6,1,0.1394923161297044,0.1909020525265464,-0.0065734122270549,0.0026071509524264,0.0422624906293262,-0.0542746717330686,-0.0640991944183592,0.0356311847547998,0.0216714588609139,-0.0229216079776895,-0.0109622072574662,0.0053217632448506,-0.0159165450740215,-0.0096048699687322,0.0415816437274934,0.0227094440632341,0.0236670951424754
2vars_growth_inflation,6,2,0.1318046380957768,0.1286588272675435,-0.0033047824632891,0.0030415361828259,0.0085223418979218,-0.0628902697883287,0.0080692058350457,0.0413973633075315,0.0254365752173979,-0.0232859838003511,-0.0064625957902668,0.0072333072619275,0.0112949815086993,-0.0081438933527019,-0.0038513438908258,0.0038295600038921,0.0137322664916862
2vars_growth_inflation,6,3,0.1310485234932962,0.1553961204999999,-0.0039805664923002,0.0041399781158387,-0.0034368834427796,-0.0592134536227726,0.0077942848434636,0.038419905636655,0.0261896529542971,-0.0237857444046563,-0.0090318560623842,0.0085051609649537,0.008516675096364,-0.0083080570858511,-0.0027969058409315,0.0192707261254524,0.0187576415161965
2vars_growth_inflation,6,4,0.1512236051029046,0.1074957522172663,-0.0019481263412523,0.0053250014987207,0.0696573858250134,-0.0701892725831982,-0.0656603573940176,0.0375068636348452,0.0239584961134444,-0.0229591758301397,-0.0046957958226939,0.0048387192521777,-0.0069723031448943,-0.0058181809158414,0.0281399442607917,0.0142769336211774,0.0181089892993868
2vars_growth_inflation,6,5,0.1358198060825182,0.1393360633731594,-0.0035992727979599,0.0028873637662723,0.0064236311595433,-0.0546794241820201,0.0002116386108982,0.0401428401773379,0.0227619030094948,-0.0209485539183102,-0.0089814911539097,0.0061994909965936,0.0078898814628137,-0.0078004270621285,0.0056690388166529,0.0039213841135647,0.0142859896372598
2vars_growth_market_volatility,2,0,0.6767212685510207,0.0962002041276344,-0.0029732437148421,0.0008584066719831,0.1004452541925257,-0.0653653605163196,-0.0919086790068144,0.0372415720130629,0.020908202006781,-0.018695161682759,-0.0014848357429308,0.0091052847623691,0.0121430296404827,-0.0070035238057207,0.0058081429798349,0.0005180993774371,0.0125732823060162
2vars_growth_market_volatility,2,1,0.3232787314489793,0.1694270292548377,-0.003502555728891,0.0053094659234726,-0.0998156635018451,-0.0609191432827848,0.1108073725151223,0.0462394470636777,0.0308536961963181,-0.0283195821718079,-0.0142084829804646,0.0040260023356617,0.0010374559243042,-0.009630308608933,0.0040613302012967,0.0156609230442186,0.0194845249715891
2vars_growth_market_volatility,3,0,0.4317457813410278,0.0983858029051967,-0.000658859739381,-0.0004638167067721,0.0630168072217964,-0.0696642156619458,-0.0305232508308961,0.0332195867527927,0.0163535897589784,-0.0093421699180597,0.0033455507672946,0.008238512411119,0.0185873198752363,-0.0091382789887663,-0.0057674670710407,-0.0106710911861135,0.0108288419073364
