date,value,pct_change_mom,pct_change_yoy,log_value,log_diff,log_pct_change,zscore_value,zscore_pct_change_mom,zscore_pct_change_yoy,zscore_log_value,minmax_value,minmax_pct_change_mom,minmax_pct_change_yoy,minmax_log_value
1991-05-01,135.6,0.37009622501851247,5.034856700232382,4.909709375506295,0.0036941305401416713,0.07529798330594417,0.13710787335626698,0.2389790536415498,0.5258811519025113,0.4887409891693669,0.37677293256913447,0.5731564680895823,0.4563595942930102,0.678730181128922
1991-06-01,136.0,0.2949852507374784,4.695919938414161,4.912654885736052,0.002945510229757531,0.059993576085215494,0.14161116541528398,0.018797445989769863,0.40798738756836206,0.49209890330897865,0.3780935527323631,0.5530455378876237,0.437080358088175,0.6798151809562822
1991-07-01,136.2,0.14705882352941124,4.367816091954024,4.9141243937154115,0.0014695079793591859,0.02991270532000101,0.14386281144479235,-0.41483663835841433,0.293861680624702,0.4937741586084887,0.37875386281397744,0.5134383023127584,0.4184173145112954,0.6803564847642953
1991-08-01,136.6,0.2936857562408246,3.7993920972644313,4.91705694713669,0.0029325534212780724,0.05967601115324239,0.14836610350380935,0.014988085371742049,0.09614443062114068,0.49711730184356995,0.3800744829772061,0.5526975988098765,0.3860844970283866,0.6814367118582862
1991-09-01,137.0,0.2928257686676483,3.396226415094339,4.919980925828125,0.002923978691435458,0.059466032687249815,0.15286939556282636,0.01246710294227673,-0.04409034257489649,0.5004506697920842,0.3813951031404348,0.5524673375168464,0.3631518225833248,0.6825137803890153
1991-10-01,137.2,0.14598540145984717,2.8485757121439192,4.921439715291784,0.0014587894636592935,0.02965030730102125,0.15512104159233472,-0.41798328635796234,-0.23458193329144275,0.5021137058655123,0.38205541322204906,0.5131508940275528,0.3320006213879001,0.6830511359548642
1991-11-01,137.8,0.4373177842565745,3.0665669409125185,4.925803358579558,0.004363643287773833,0.08866599085253224,0.1618759796808604,0.43603349373597394,-0.1587571498908736,0.5070883073278347,0.3840363434668921,0.5911550108969927,0.34440029254622095,0.6846585152693425
1991-12-01,138.2,0.2902757619738683,2.980625931445613,4.92870191133357,0.0028985527540115186,0.058844264437851734,0.16637927173987707,0.00499196926529207,-0.18865036378239072,0.5103926894273351,0.3853569636301207,0.5517845743504247,0.3395118378023149,0.6857262179735888
1992-01-01,138.3,0.07235890014474222,2.672605790645899,4.929425238670713,0.000723327337142976,0.014675818301768118,0.16750509475463157,-0.6338132843111258,-0.2957902729937994,0.5112172905672062,0.3856871186709279,0.49343743080682095,0.3219911858126403,0.6859926607881465
1992-02-01,138.6,0.2169197396963085,2.8189910979228294,4.931592086755803,0.002166848085090045,0.04395741856659807,0.1708825637988941,-0.21004514176431777,-0.2448724710253475,0.5136875212762381,0.3866775837933494,0.5321435317725781,0.33031780373620134,0.6867908348275664
1992-03-01,139.1,0.3607503607503615,3.189910979228472,4.935193098929397,0.00360101217359432,0.07301926254739133,0.17651167887266528,0.21158242566336086,-0.11585388703075862,0.5177927148594977,0.38832835899738516,0.5706541170580204,0.35141628820392096,0.6881172934992085
1992-04-01,139.4,0.21567217828901697,3.1828275351591495,4.937347498326424,0.002154399397026552,0.04365380145903153,0.17988914791692812,-0.21370226482697427,-0.11831775044086194,0.5202487539268759,0.3893188241198067,0.531809497756579,0.3510133711800383,0.6889108819750601
1992-05-01,139.7,0.21520803443326741,3.0235988200590036,4.939497266262916,0.0021497679364923528,0.043540948600861995,0.18326661696119065,-0.21506286414443562,-0.1737029276418936,0.5226995130781777,0.39030928924222813,0.5316852234441234,0.34195620077296834,0.689702764419193
1992-06-01,140.1,0.28632784538296097,3.0147058823529305,4.942356453342962,0.002859187080045622,0.05788417172682969,0.18776990902020765,-0.006581021634928489,-0.17679619464702406,0.5259590178753045,0.3916299094054568,0.5507275214262298,0.3414503570112278,0.6907559664949826
1992-07-01,140.5,0.2855103497501732,3.1571218795888534,4.945207488773801,0.0028510354308393104,0.057685750871150354,0.19227320107922466,-0.008977442456232764,-0.12725905407402952,0.5292092297024545,0.3929505295686855,0.5505086373314785,0.34955119456962486,0.6918061658522985
