date,value,pct_change_mom,pct_change_yoy,log_value,log_diff,log_pct_change,zscore_value,zscore_pct_change_mom,zscore_pct_change_yoy,zscore_log_value,minmax_value,minmax_pct_change_mom,minmax_pct_change_yoy,minmax_log_value
1938-03-01,13.7,-0.7246376811594346,-9.27152317880795,2.617395832834079,-0.007272759329080003,-0.2770924813439435,-0.9165839577569884,-0.7502317101636117,-1.4110259607671558,-1.2982621441170072,0.012594878329770956,0.43357514472045056,0.3800388980526355,0.08634730858108912
1938-04-01,13.5,-1.4598540145985384,-11.184210526315786,2.6026896854443837,-0.014706147389695445,-0.5618618019182731,-0.9193851708675627,-1.3243070768268739,-1.627981774635635,-1.3130298427245632,0.011854003133902077,0.3975173816977502,0.35904910976325577,0.08189567800712125
1938-05-01,13.5,0.0,-10.596026490066224,2.6026896854443837,0.0,0.0,-0.9193851708675627,-0.1844164207185021,-1.5612641553366722,-1.3130298427245632,0.011854003133902077,0.4691140910090128,0.365503828257712,0.08189567800712125
1938-06-01,13.5,0.0,-9.999999999999998,2.6026896854443837,0.0,0.0,-0.9193851708675627,-0.1844164207185021,-1.4936569677803895,-1.3130298427245632,0.011854003133902077,0.4691140910090128,0.3720446096654276,0.08189567800712125
1938-07-01,13.6,0.7407407407407307,-10.526315789473683,2.6100697927420065,0.007380107297622729,0.2835569426081097,-0.9179845643122757,0.3939725418253684,-1.5533568819382766,-1.3056188466713696,0.012224440731836516,0.5054427916595419,0.36626883193112897,0.08412967651228251
1938-08-01,13.4,-1.4705882352941124,-11.258278145695355,2.5952547069568657,-0.014815085785140791,-0.5676126296062289,-0.9207857774228497,-1.3326886257688446,-1.6363832526214297,-1.3204959396259355,0.01148356553596764,0.39699093530575574,0.35823629336025026,0.07964506969518359
1938-09-01,13.5,0.746268656716409,-10.596026490066224,2.6026896854443837,0.0074349784875180625,0.2864835758735973,-0.9193851708675627,0.39828887736674146,-1.5612641553366722,-1.3130298427245632,0.011854003133902077,0.5057139013658892,0.365503828257712,0.08189567800712125
1938-10-01,13.4,-0.7407407407407418,-8.843537414965985,2.5952547069568657,-0.0074349784875180625,-0.2856651920164932,-0.9207857774228497,-0.7628053832623812,-1.362479605379046,-1.3204959396259355,0.01148356553596764,0.4327853903584831,0.3847356042788863,0.07964506969518359
1938-11-01,13.4,0.0,-6.944444444444442,2.5952547069568657,0.0,0.0,-0.9207857774228497,-0.1844164207185021,-1.1470657994748787,-1.3204959396259355,0.01148356553596764,0.4691140910090128,0.4055762081784387,0.07964506969518359
1938-12-01,13.3,-0.7462686567164201,-5.6737588652482245,2.5877640352277083,-0.007490671729157405,-0.28862954025583587,-0.922186383978137,-0.7671217188037543,-1.0029321414754886,-1.3280179628678517,0.0111131279380332,0.4325142806521358,0.41952068338210874,0.07737760273694821
