regime,variable,beta_normal,gamma_extreme,gamma_pvalue,delta_interaction,delta_pvalue,beta_extreme,n_obs,r_squared
0,growth_factor,0.04762535808028272,0.0995476215109914,0.0007969746007499001,-0.045396875929591685,0.08343048740750136,0.002228482150691033,19,0.24278644194381105
0,monetary_policy_factor,0.06985077632020072,0.0995476215109914,0.0007969746007499001,-0.1237960155779271,0.003190770586938285,-0.05394523925772639,19,0.24278644194381105
1,growth_factor,0.011899580174079608,0.003242198326219839,0.950286819455056,0.007141242044049516,0.7789664424417819,0.019040822218129125,100,0.08236668068922226
1,monetary_policy_factor,0.07092400248287385,0.003242198326219839,0.950286819455056,0.2696468534725537,0.4612987892154361,0.3405708559554275,100,0.08236668068922226
2,growth_factor,0.014963432937680097,0.1155045515484465,0.027797492933104406,-0.013437677943172313,0.37797614495792464,0.0015257549945077841,185,0.047543650313483954
2,monetary_policy_factor,0.0023357344562919364,0.1155045515484465,0.027797492933104406,-0.015401683909686976,0.03001221340338467,-0.01306594945339504,185,0.047543650313483954
3,growth_factor,0.012524221856773852,0.06900688424830738,0.5322404409612922,-0.17969412242142166,0.31855795620942073,-0.1671699005646478,127,0.14313687084832472
3,monetary_policy_factor,-0.0024572348830058997,0.06900688424830738,0.5322404409612922,-0.05172185737834894,0.16278763319993317,-0.05417909226135484,127,0.14313687084832472
