horizon,model1,model2,dm_statistic,p_value,mean_loss_diff,n_obs
1,TVP-VAR,Static VAR,1.543737669171727,0.12265189676735622,0.16636008002677083,150
3,TVP-VAR,Static VAR,1.1875359150749083,0.2350162987777933,1.3736557762711232,150
6,TVP-VAR,Static VAR,1.015572564586957,0.30983297508161245,1.2169377791357439,150
