horizon,rmse,mae,n_forecasts,variable
1,0.793973975370727,0.2738446836444562,150,growth
3,1.9646123353441458,0.69566585546801,150,growth
6,1.8233669045262257,0.75392960204879,150,growth
1,0.17795525144108462,0.13134705939091462,150,inflation
3,0.22181328044276513,0.15301639949310156,150,inflation
6,0.22381949409783597,0.15556965955703972,150,inflation
