model,variable,h_1m,h_3m,h_6m
LSTM,Growth,0.7522487772687022,0.6625434392901751,0.70359393763586
LSTM,Inflation,0.11768642209771309,0.11352307711041701,0.13137102255430405
TVP-VAR,Growth,0.8075570542979855,0.7450543140678096,0.7190512534898708
TVP-VAR,Inflation,0.1409260337119139,0.1523144264905717,0.1529636016289585
XGBoost (Macro),Growth,0.3048808270003225,0.5687968889102122,0.6653145741835845
XGBoost (Macro),Inflation,0.1361579080845348,0.146474656784853,0.1687634477950379
XGBoost (Macro+Sent),Growth,0.25877834253381843,0.468714271406072,0.5468040033144824
XGBoost (Macro+Sent),Inflation,0.11031250053106381,0.12002611592775896,0.12996605831180683
