strategy,sharpe_ratio,annualized_return,annualized_volatility,max_drawdown
LSTM,0.7261217347113169,0.06353890878940716,0.0875044854767613,-0.1965502087153666
XGBoost,0.6096916525574134,0.05155043274180504,0.08455164594360366,-0.31199688302386536
XGBoost + Groq,0.6718935212619151,0.06408231654831198,0.09537570242968846,-0.37722025942703785
XGBoost + OpenAI,0.8388215836083629,0.06929229046950036,0.08260670901126003,-0.3326060659532969
