strategy,sharpe_ratio,annualized_return,annualized_volatility,max_drawdown
LSTM,0.779059593219217,0.06306821441498167,0.08095428766157958,-0.20656947545423918
XGBoost,0.7323667154052902,0.061762722797071845,0.08433305541868118,-0.2649976290111942
XGBoost + Groq,0.7393364985321302,0.0729111574884811,0.09861701354286989,-0.3708005274088839
XGBoost + OpenAI,0.8724968685030996,0.07257033528286572,0.08317546790439616,-0.3283134794988476
