variable,0,1,2,3
10y_2y_spread,-0.0049,-0.0006,0.0022,0.0031
10y_treasury_const_maturity_rate,-0.0000,-0.0006,-0.0053,-0.0037
PCE_price_index,-0.0015,0.0023,0.0032,0.0020
PPI_inflation,-0.0025,0.0007,0.0028,0.0008
cpi,-0.0016,0.0017,0.0030,0.0020
fed_reserve_discount_rate,0.0047,-0.0031,-0.0051,-0.0057
fedfunds,0.0051,0.0012,-0.0056,-0.0047
gdp,-0.0162**,-0.0036,0.0126,0.0032
industrial_production,-0.0009,-0.0002,-0.0016,-0.0022
m2_real_money_supply,-0.0015,0.0014,0.0054,0.0031
nat_fin_condition_indx,-0.0047,0.0023,-0.0027,-0.0041
real_gdp,-0.0153**,-0.0040,0.0115,0.0031
retail_sales,-0.0017,0.0017,0.0028,0.0014
tot_business_inventories,-0.0013,0.0013,0.0031,0.0009
unemployment,-0.0015,0.0005,0.0086**,0.0053
