variable,0,1,2,3
10y_2y_spread,0.22459275593555028,0.875482649583692,0.6242034672800503,0.42663184179390434
10y_treasury_const_maturity_rate,0.9954800540305557,0.8897295438005841,0.23066570073480253,0.33649844798791273
PCE_price_index,0.7085495517416209,0.5858545580310435,0.46316244665987516,0.5954832361636413
PPI_inflation,0.5354144229748141,0.8733191546789498,0.532957421058275,0.8296865552154236
cpi,0.6924238655309578,0.671645315833648,0.49102299884193457,0.5943455737664194
fed_reserve_discount_rate,0.26013643619803273,0.5032517487509507,0.25731670391511274,0.13880109752814307
fedfunds,0.21233644987606626,0.7755094321657245,0.20218759596325686,0.22173811631105012
gdp,0.011322844479405125,0.6461811096199583,0.10700361558290306,0.6321479748511698
industrial_production,0.8339068740745699,0.9614400824478309,0.7102209252062042,0.5686069240827565
m2_real_money_supply,0.7099866657267233,0.7356272843845191,0.22051243877224236,0.4263295374542633
nat_fin_condition_indx,0.24342637965936786,0.5764346027734675,0.5347931988888552,0.28102923172509464
real_gdp,0.01715893650294964,0.6010834596862784,0.14067140074974827,0.6438582896991729
retail_sales,0.6767442690251309,0.701349161629321,0.526796153121079,0.707262233976629
tot_business_inventories,0.7511484746501278,0.7618513967808456,0.49320322485937007,0.8079226589014805
unemployment,0.7116164069374258,0.9069512118507259,0.04834726239957532,0.16386143759181482
