variable,0,1,2,3
10y_2y_spread,0.0011,0.0024,-0.0003,0.0016
10y_treasury_const_maturity_rate,0.0006,-0.0047,-0.0025,-0.0024
PCE_price_index,0.0018,0.0049,0.0033,-0.0002
PPI_inflation,0.0028,0.0047,0.0041,-0.0005
cpi,0.0019,0.0049,0.0032,-0.0003
fed_reserve_discount_rate,-0.0001,-0.0133***,-0.0023,-0.0052
fedfunds,-0.0014,-0.0064,-0.0020,-0.0048
gdp,0.0011,0.0091,0.0046,0.0050
industrial_production,-0.0020,0.0021,0.0011,-0.0042
m2_real_money_supply,0.0016,0.0056,0.0025,-0.0012
nat_fin_condition_indx,-0.0022,0.0049,-0.0010,0.0011
real_gdp,-0.0005,0.0088,0.0043,0.0037
retail_sales,0.0024,0.0043,0.0022,-0.0023
tot_business_inventories,0.0025,0.0036,0.0039,-0.0009
unemployment,0.0028,0.0016,-0.0016,0.0052
