model,variable,h_1m,h_3m,h_6m
LSTM,Growth,1.5381809915500189,1.4231942738621386,1.4820698278458808
LSTM,Inflation,0.159255865185252,0.15052970685607897,0.17976773400244514
TVP-VAR,Growth,1.6674603968360455,1.744146728740809,1.559168486607702
TVP-VAR,Inflation,0.1928163243472134,0.2228194831599129,0.2194805026210257
XGBoost (Macro),Growth,0.9616936277385316,1.3010501861381447,1.40874516722436
XGBoost (Macro),Inflation,0.1894543931991383,0.1951411582957058,0.2460603943443162
XGBoost (Macro+Sent),Growth,0.8020321226020736,1.065183707533697,1.1637959098790458
XGBoost (Macro+Sent),Inflation,0.15132203922173762,0.16287580178911867,0.17991185972240942
