date,value,pct_change_mom,pct_change_yoy,zscore_value,zscore_pct_change_mom,zscore_pct_change_yoy,minmax_value,minmax_pct_change_mom,minmax_pct_change_yoy
1990-01-05,0.03127,45.78088578088577,-91.43850618771219,0.03126995570827388,0.44538510647554974,-0.04798333042841547,0.18037676359119714,0.5666875595211318,0.13252646731011317
1990-01-12,0.04299,37.48001279181325,-87.25013345987307,0.04298995612624774,0.36654971190352725,-0.046340238151912835,0.18224306506576643,0.5652902924768727,0.13255433443298203
1990-01-19,0.05286,22.958827634333566,-82.15575735070722,0.05285995647824448,0.22863851111171526,-0.04434172212134731,0.18381477117105638,0.5628459744526311,0.13258822960282468
1990-01-26,0.06005,13.601967461218312,-75.62609083898202,0.060049956734663595,0.13977415134210458,-0.041780143840063635,0.18495971209274178,0.5612709554907888,0.13263167440365764
1990-02-02,0.06187,3.030807660283097,-68.04235537190083,0.0618699567995708,0.03937729488041487,-0.038805055904318,0.18524953023981658,0.5594915362382731,0.1326821323981579
1990-02-09,0.059,-4.638758687570721,-58.45655541473032,0.05899995669721713,-0.03346242812526373,-0.03504456110187665,0.18479250931558328,0.5582005356030721,0.13274591102593558
1990-02-16,0.05315,-9.91525423728813,-44.9679022571961,0.05314995648858684,-0.08357458008411099,-0.029752982901050735,0.18386095098570018,0.5573123551248857,0.13283565708706774
1990-02-23,0.04649,-12.530573847601145,-22.876575978765768,0.046489956251069275,-0.10841290175008457,-0.021086589066394205,0.18280040765629477,0.5568721243315095,0.13298264059205664
1990-03-02,0.0418,-10.088191008819102,18.817509948834555,0.041799956083808404,-0.08521700234952856,-0.004730062316010745,0.18205356858498678,0.5572832450720131,0.13326005005175628
1990-03-09,0.04092,-2.1052631578947323,92.83694627709707,0.040919956052424704,-0.009401209505078799,0.024307650429481558,0.18191343673365395,0.5586269931353166,0.133752534570418
1990-03-16,0.04643,13.465298142717508,164.5584045584046,0.046429956248929476,0.13847616983292066,0.052443869868175355,0.1827908532118857,0.5612479502556823,0.134229729610147
1990-03-23,0.05735,23.51927632995907,167.36596736596735,0.05734995663837269,0.23396122766395933,0.053545272504631355,0.18452976209433422,0.562940313505093,0.13424840958511688
1990-03-30,0.0725,26.41673931996513,131.85161496642147,0.07249995717867165,0.2614791331150681,0.03961304585612283,0.18694225930762126,0.5634280368509658,0.13401211666511265
1990-04-06,0.0893,23.172413793103463,107.72272621539894,0.08929995777781506,0.23066699042032698,0.030147319350007747,0.18961750374215738,0.562881926924275,0.13385157634284256
1990-04-13,0.10213,14.367301231802898,93.20847521755582,0.10212995823537517,0.14704271090960508,0.02445340067002424,0.1916605624382942,0.5613997823812741,0.13375500651914507
1990-04-20,0.10902,6.746303730539505,81.548709408826,0.1090199584810953,0.07466425796430504,0.01987929220570008,0.19275773113793432,0.5601169572293999,0.1336774288660736
1990-04-27,0.10637,-2.4307466519904564,71.92500404073057,0.10636995838658757,-0.012492404818812182,0.016103927167972737,0.1923357431765343,0.5585722052400737,0.13361339803659078
1990-05-04,0.09179,-13.706872238413093,55.576271186440685,0.09178995786661667,-0.11958449152096438,0.009690344034614043,0.19001401318513328,0.5566741207025104,0.1335046225820633
1990-05-11,0.06609,-27.998692668046633,24.346190028222004,0.06608995695006992,-0.25531736012476924,-0.002561169495819409,0.1859215261632536,0.5542684111205082,0.13329683484076302
1990-05-18,0.03096,-53.15478892419427,-33.40503334050332,0.030959955697218256,-0.4942308788421259,-0.025216886940691394,0.18032739896175037,0.5500339427330029,0.13291259004164377
1990-05-25,-0.0103,-133.2687338501292,-124.64114832535884,-0.010300045774249414,-1.2550923529631806,-0.06100867664300469,0.17375712602312177,0.5365485448503999,0.13230555523562856
1990-06-01,-0.05364,420.7766990291262,-231.0850439882698,-0.053640047319896744,4.0068108672598575,-0.10276645566827648,0.16685563234497916,0.6298097506782137,0.13159733624180178
1990-06-08,-0.09384,74.94407158836691,-302.110704286022,-0.09384004875356133,0.7223549219559896,-0.13062971461202988,0.16045415459091056,0.5715965321663029,0.13112477065822667
1990-06-15,-0.1269,35.230179028132994,-321.2728857890148,-0.12690004993258996,0.34518249754972596,-0.13814700938840788,0.1551896557215198,0.564911583083633,0.13099727606758754
1990-06-22,-0.14994,18.15602836879431,-306.8137931034483,-0.14994005075427233,0.18302516711194003,-0.1324747292307756,0.15152074906844168,0.562037530191074,0.1310934788982867
1990-06-29,-0.16009,6.76937441643326,-279.2721164613662,-0.16009005111625482,0.07488336583740174,-0.12167017120475546,0.14990445555590942,0.5601208406654108,0.131276726029541
1990-07-06,-0.15687,-2.0113686051596025,-253.59835503769705,-0.15687005100141901,-0.00850947027201476,-0.11159839348936434,0.1504172107391955,0.5586427981915252,0.13144754508280826
1990-07-13,-0.14147,-9.81704596162427,-229.76518070078882,-0.14147005045220423,-0.08264187238307877,-0.10224867529995232,0.1528695181375203,0.5573288863002499,0.13160611788440918
1990-07-20,-0.11457,-19.01463207747226,-207.70894049073988,-0.1145700494928615,-0.16999356798275445,-0.09359604567677278,0.15715309404758113,0.5557806775777062,0.13175286794604382
1990-07-27,-0.07792,-31.989176922405516,-184.88942150561064,-0.07792004818580162,-0.2932159523740377,-0.08464398294635878,0.16298926717411383,0.5535967019946619,0.13190469644381356
1990-08-03,-0.03388,-56.51950718685832,-151.26342865789076,-0.03388004661518998,-0.5261864204110673,-0.07145255688950773,0.17000222937036213,0.5494675673712999,0.13212842526050825
1990-08-10,0.01628,-148.05194805194805,-47.41602067183462,0.01627995517368104,-1.3954921068417585,-0.030713376046655926,0.1779897448963343,0.5340601200739197,0.1328193686569085
1990-08-17,0.06866,321.74447174447175,-766.6019417475728,0.06865995704172459,3.0662778987865895,-0.312848923447815,0.18633077486544156,0.6131398814142723,0.12803430206171706
1990-08-24,0.12321,79.4494611127294,-329.6979865771812,0.12320995898715749,0.7651436938503852,-0.14145216366509863,0.19501735724067645,0.5723549141235054,0.1309412200921281
1990-08-31,0.17709,43.73021670318968,-288.71483375959076,0.17708996090869597,0.4259094072220331,-0.12537453489683673,0.2035972483200102,0.5663423750658682,0.1312138993948872
1990-09-07,0.23064,30.23886159579876,-281.74940898345153,0.23063996281846558,0.2977787510124295,-0.12264200930851854,0.2121245899550941,0.5640714059884265,0.13126024349095594
