date,value,first_diff,pct_change_mom,zscore_value,zscore_first_diff,minmax_value,minmax_first_diff,minmax_pct_change_mom
1990-01-31,0.15,-0.06,-28.57142857142857,-0.7623321314891323,-1.297334702667164,0.4812030075187969,0.4299065420560746,
1990-02-28,0.08,0.0099999999999999,14.28571428571428,-0.8385077825040116,0.2164877540647045,0.4680451127819549,0.4953271028037382,
1990-03-31,0.01,0.03,-150.0,-0.9146834335188908,0.6490084559880958,0.4548872180451127,0.514018691588785,
1990-04-30,0.08,0.0,0.0,-0.8385077825040116,0.0002274031030091,0.4680451127819549,0.4859813084112148,
1990-05-31,0.1,-0.04,-28.57142857142857,-0.8167433107854747,-0.8648140007437731,0.4718045112781955,0.4485981308411213,
1990-06-30,0.19,0.03,18.75,-0.7188031880520586,0.6490084559880958,0.4887218045112781,0.514018691588785,
1990-07-31,0.45,0.04,9.756097560975618,-0.4358650557110784,0.8652688069497921,0.5375939849624061,0.5233644859813084,
1990-08-31,0.79,0.05,6.756756756756754,-0.0658690364959506,1.0815291579114878,0.6015037593984962,0.5327102803738317,
1990-09-30,0.8,-0.0599999999999999,-6.976744186046502,-0.0549868006366821,-1.2973347026671629,0.6033834586466165,0.4299065420560747,
1990-10-31,0.88,-0.03,-3.296703296703296,0.0320710862374655,-0.648553649782078,0.6184210526315789,0.4579439252336447,
1990-11-30,0.73,-0.01,-1.3513513513513489,-0.1311624516515614,-0.2160329478586866,0.5902255639097744,0.4766355140186915,
1990-12-31,0.93,0.04,4.494382022471921,0.0864822655338078,0.8652688069497921,0.6278195488721805,0.5233644859813084,
1991-01-31,0.98,0.0,0.0,0.1408934448301501,0.0002274031030091,0.6372180451127819,0.4859813084112148,
1991-02-28,0.98,0.02,2.083333333333326,0.1408934448301501,0.4327481050264006,0.6372180451127819,0.5046728971962616,
1991-03-31,1.03,0.02,1.980198019801982,0.1953046241264925,0.4327481050264006,0.6466165413533835,0.5046728971962616,
1991-04-30,1.22,0.05,4.2735042735042805,0.4020671054525932,1.0815291579114878,0.6823308270676691,0.5327102803738317,
1991-05-31,1.38,-0.04,-2.8169014084507116,0.5761828792008885,-0.8648140007437738,0.7124060150375939,0.4485981308411213,
1991-06-30,1.34,0.02,1.5151515151515138,0.5326539357638149,0.4327481050264006,0.7048872180451128,0.5046728971962616,
1991-07-31,1.39,0.0199999999999997,1.4598540145985162,0.587065115060157,0.4327481050263958,0.7142857142857142,0.5046728971962614,
1991-08-31,1.46,-0.03,-2.0134228187919434,0.6632407660750363,-0.648553649782078,0.7274436090225563,0.4579439252336447,
1991-09-30,1.48,0.01,0.6802721088435382,0.6850052377935733,0.2164877540647048,0.731203007518797,0.4953271028037382,
1991-10-31,1.77,0.02,1.1428571428571344,1.0005900777123586,0.4327481050264006,0.7857142857142856,0.5046728971962616,
1991-11-30,2.0,0.01,0.5025125628140614,1.250881502475533,0.2164877540647048,0.8289473684210527,0.4953271028037382,
1991-12-31,1.94,-0.02,-1.0204081632653073,1.1855880873199225,-0.4322932988203823,0.8176691729323308,0.4672897196261681,
1992-01-31,2.2,0.06,2.8037383177570208,1.4685262196609028,1.2977895088731837,0.8665413533834586,0.5420560747663551,
1992-02-29,2.0,-0.0099999999999997,-0.4975124378109319,1.250881502475533,-0.2160329478586818,0.8289473684210527,0.4766355140186916,
1992-03-31,1.94,0.01,0.5181347150259086,1.1855880873199225,0.2164877540647048,0.8176691729323308,0.4953271028037382,
1992-04-30,2.15,-0.06,-2.714932126696834,1.41411504036456,-1.297334702667165,0.8571428571428572,0.4299065420560746,
1992-05-31,2.14,0.0,0.0,1.403232804505292,0.0002274031030091,0.855263157894737,0.4859813084112148,
1992-06-30,2.31,0.02,0.8733624454148492,1.5882308141128558,0.4327481050264006,0.887218045112782,0.5046728971962616,
1992-07-31,2.3,-0.06,-2.5423728813559365,1.577348578253587,-1.297334702667165,0.8853383458646616,0.4299065420560746,
1992-08-31,2.47,0.0,0.0,1.7623465878611513,0.0002274031030091,0.9172932330827068,0.4859813084112148,
1992-09-30,2.57,0.0,0.0,1.8711689464538357,0.0002274031030091,0.9360902255639098,0.4859813084112148,
1992-10-31,2.4,0.02,0.8403361344537785,1.6861709368462718,0.4327481050264006,0.9041353383458648,0.5046728971962616,
1992-11-30,2.16,0.0,0.0,1.424997276223829,0.0002274031030091,0.8590225563909775,0.4859813084112148,
1992-12-31,2.14,0.0,0.0,1.403232804505292,0.0002274031030091,0.855263157894737,0.4859813084112148,
1993-01-31,2.19,-0.0500000000000002,-2.2321428571428714,1.4576439838016342,-1.0810743517054744,0.8646616541353382,0.4392523364485977,
1993-02-28,2.11,0.0299999999999998,1.4423076923076872,1.3705860969274863,0.6490084559880915,0.8496240601503758,0.5140186915887848,
1993-03-31,2.07,-0.04,-1.8957345971563957,1.3270571534904123,-0.8648140007437738,0.8421052631578948,0.4485981308411213,
1993-04-30,2.22,0.02,0.9090909090909038,1.4902906913794398,0.4327481050264006,0.8703007518796994,0.5046728971962616,
1993-05-31,1.92,0.03,1.5873015873015817,1.1638236156013857,0.6490084559880964,0.8139097744360902,0.514018691588785,
1993-06-30,1.77,0.01,0.5681818181818121,1.0005900777123586,0.2164877540647048,0.7857142857142856,0.4953271028037382,
1993-07-31,1.7,0.01,0.591715976331364,0.9244144266974794,0.2164877540647048,0.7725563909774437,0.4953271028037382,
1993-08-31,1.57,-0.01,-0.6329113924050667,0.7829453605269895,-0.2160329478586866,0.7481203007518797,0.4766355140186915,
1993-09-30,1.51,0.0,0.0,0.7176519453713787,0.0002274031030091,0.7368421052631579,0.4859813084112148,
1993-10-31,1.44,0.0,0.0,0.6414762943564993,0.0002274031030091,0.7236842105263158,0.4859813084112148,
1993-11-30,1.61,0.02,1.2578616352201255,0.8264743039640634,0.4327481050264006,0.755639097744361,0.5046728971962616,
1993-12-31,1.58,0.01,0.6369426751592355,0.793827596386258,0.2164877540647048,0.75,0.4953271028037382,
1994-01-31,1.58,-0.02,-1.2499999999999956,0.793827596386258,-0.4322932988203823,0.75,0.4672897196261681,
1994-02-28,1.48,-0.01,-0.6711409395973145,0.6850052377935733,-0.2160329478586866,0.731203007518797,0.4766355140186915,
1994-03-31,1.56,-0.03,-1.8867924528301885,0.7720631246677211,-0.648553649782078,0.7462406015037594,0.4579439252336447,
1994-04-30,1.33,0.04,3.100775193798455,0.5217716999045464,0.8652688069497921,0.7030075187969925,0.5233644859813084,
1994-05-31,1.16,0.01,0.8695652173912993,0.3367736902969824,0.2164877540647048,0.6710526315789473,0.4953271028037382,
1994-06-30,1.15,0.0299999999999998,2.678571428571419,0.3258914544377139,0.6490084559880915,0.6691729323308271,0.5140186915887848,
1994-07-31,1.13,0.0499999999999998,4.629629629629606,0.304126982719177,1.081529157911483,0.6654135338345865,0.5327102803738315,
1994-08-31,1.02,0.0,0.0,0.184422388267224,0.0002274031030091,0.6447368421052632,0.4859813084112148,
1994-09-30,1.0,-0.04,-3.8461538461538542,0.162657916548687,-0.8648140007437738,0.6409774436090225,0.4485981308411213,
1994-10-31,0.97,-0.03,-3.0000000000000027,0.1300112089708816,-0.648553649782078,0.6353383458646616,0.4579439252336447,
1994-11-30,0.51,0.0,0.0,-0.3705716405554676,0.0002274031030091,0.5488721804511277,0.4859813084112148,
1994-12-31,0.15,0.0199999999999999,15.384615384615374,-0.7623321314891323,0.4327481050264,0.4812030075187969,0.5046728971962616,
1995-01-31,0.34,-0.0799999999999999,-19.047619047619037,-0.5555696501630314,-1.7298554045905543,0.5169172932330827,0.4112149532710279,
1995-02-28,0.43,-0.02,-4.444444444444451,-0.4576295274296153,-0.4322932988203823,0.5338345864661654,0.4672897196261681,
1995-03-31,0.4,-0.0199999999999999,-4.761904761904756,-0.4902762350074207,-0.4322932988203811,0.5281954887218044,0.4672897196261681,
1995-04-30,0.47,-0.02,-4.081632653061229,-0.4141005839925415,-0.4322932988203823,0.5413533834586466,0.4672897196261681,
1995-05-31,0.41,0.0,0.0,-0.4793939991481523,0.0002274031030091,0.5300751879699248,0.4859813084112148,
1995-06-30,0.42,0.0299999999999999,7.692307692307687,-0.4685117632888838,0.6490084559880952,0.5319548872180451,0.514018691588785,
1995-07-31,0.57,0.0,0.0,-0.3052782253998569,0.0002274031030091,0.5601503759398496,0.4859813084112148,
1995-08-31,0.43,-0.02,-4.444444444444451,-0.4576295274296153,-0.4322932988203823,0.5338345864661654,0.4672897196261681,
1995-09-30,0.34,-0.0199999999999999,-5.5555555555555465,-0.5555696501630314,-0.4322932988203811,0.5169172932330827,0.4672897196261681,
1995-10-31,0.42,0.0,0.0,-0.4685117632888838,0.0002274031030091,0.5319548872180451,0.4859813084112148,
1995-11-30,0.4,-0.0199999999999999,-4.761904761904756,-0.4902762350074207,-0.4322932988203811,0.5281954887218044,0.4672897196261681,
1995-12-31,0.4,-0.0299999999999999,-6.976744186046502,-0.4902762350074207,-0.6485536497820769,0.5281954887218044,0.4579439252336447,
1996-01-31,0.67,0.06,9.836065573770504,-0.1964558668071721,1.2977895088731837,0.5789473684210527,0.5420560747663551,
1996-02-29,0.69,0.0099999999999998,1.4705882352941124,-0.1746913950886353,0.2164877540647024,0.5827067669172932,0.4953271028037381,
1996-03-31,0.55,0.02,3.773584905660377,-0.3270426971183937,0.4327481050264006,0.556390977443609,0.5046728971962616,
1996-04-30,0.63,0.02,3.2786885245901676,-0.239984810244246,0.4327481050264006,0.5714285714285714,0.5046728971962616,
1996-05-31,0.58,-0.02,-3.3333333333333326,-0.2943959895405884,-0.4322932988203823,0.5620300751879699,0.4672897196261681,
1996-06-30,0.62,0.0,0.0,-0.2508670461035145,0.0002274031030091,0.5695488721804511,0.4859813084112148,
1996-07-31,0.58,-0.01,-1.6949152542372947,-0.2943959895405884,-0.2160329478586866,0.5620300751879699,0.4766355140186915,
1996-08-31,0.62,-0.01,-1.5873015873015928,-0.2508670461035145,-0.2160329478586866,0.5695488721804511,0.4766355140186915,
1996-09-30,0.62,0.01,1.6393442622950838,-0.2508670461035145,0.2164877540647048,0.5695488721804511,0.4953271028037382,
1996-10-31,0.6,-0.01,-1.6393442622950838,-0.2726315178220515,-0.2160329478586866,0.5657894736842105,0.4766355140186915,
1996-11-30,0.47,-0.01,-2.083333333333337,-0.4141005839925415,-0.2160329478586866,0.5413533834586466,0.4766355140186915,
1996-12-31,0.55,0.04,7.843137254901977,-0.3270426971183937,0.8652688069497921,0.556390977443609,0.5233644859813084,
1997-01-31,0.59,-0.01,-1.6666666666666718,-0.28351375368132,-0.2160329478586866,0.5639097744360902,0.4766355140186915,
1997-02-28,0.47,-0.02,-4.081632653061229,-0.4141005839925415,-0.4322932988203823,0.5413533834586466,0.4672897196261681,
