date,value,log_value,log_diff,log_pct_change,pct_change_mom,zscore_value,zscore_log_value,zscore_pct_change_mom,minmax_value,minmax_log_value,minmax_pct_change_mom
1990-12-31,26.38,3.2726061472891685,0.0517323197582948,1.6061579101952272,5.309381237524935,0.896342543154328,1.0866758713073423,0.7163950228642774,0.234398368456832,0.4812601408660236,0.2713099787202772
1991-01-31,20.91,3.0402275134405423,-0.021760555890514,-0.7106675596965317,-2.1525503041647243,0.1976697781904542,0.4103636495796601,-0.3368140735728515,0.1600271923861319,0.3757504269841659,0.2220080739054817
1991-02-28,21.23,3.055415275715165,-0.0014120971986368,-0.0461948623971752,-0.1411100658513686,0.2385427735813939,0.4545659459651055,-0.0529107512098065,0.1643779741672331,0.3826463124860359,0.2352979083961797
1991-03-31,16.88,2.826129489167811,0.019743387344739,0.7035164310396747,1.9939577039274736,-0.3170745075141915,-0.2127448869724586,0.2484418924157106,0.1052345343303874,0.2785408819000775,0.2494045652812868
1991-04-30,18.24,2.9036169846461855,-0.0016433857437299,-0.0565658679159697,-0.1642036124794854,-0.1433642771026982,0.0127738681521229,-0.0561702736594349,0.1237253569000679,0.3137234773992435,0.2351453264766949
1991-05-31,15.93,2.768204123921957,-0.0056338177182562,-0.2031055107323598,-0.5617977528089901,-0.4384162125810434,-0.3813302332884645,-0.1122884198720594,0.092318150917743,0.2522403196996242,0.2325183728049908
1991-06-30,19.55,2.972975286431375,0.0898519572600382,3.1164798380603154,9.401231113598207,0.023959547778961,0.2146335073053372,1.2939363051258486,0.1415363698164514,0.3452150756390967,0.2983453370560516
1991-07-31,15.18,2.719978771967484,-0.018923892617491,-0.690929723870215,-1.8745959922430555,-0.5342122955285581,-0.5216847675404178,-0.2975824070701143,0.0821210061182868,0.2303439731969467,0.223844552430199
1991-08-31,14.46,2.671386216730619,-0.0245914031373222,-0.9121516052691404,-2.429149797570851,-0.6261765351581721,-0.6631080061892737,-0.3758545151659768,0.0723317471108089,0.20828090089586,0.2201805468343017
1991-09-30,15.85,2.7631695003232895,-0.0286089163096328,-1.0247559813195029,-2.8203556100551808,-0.4486344614287783,-0.39598294647119,-0.4310709853232837,0.0912304554724677,0.2499543879571031,0.2175958016349737
1991-10-31,15.48,2.739548868161581,0.0012928250023049,0.0472134446862559,0.1293661060802087,-0.4958938623495521,-0.4647281746848288,-0.0147345815335935,0.0861998640380693,0.239229623378644,0.2370849779248586
1991-11-30,20.26,3.0086484988205373,0.0209483969638104,0.7011546088843357,2.116935483870974,0.1146465063026083,0.3184564325351753,0.2657995049551054,0.1511896668932699,0.3614122206609539,0.2502170946870091
1991-12-31,19.31,2.960623096440423,0.0910211000306442,3.171906771201116,9.52921157118547,-0.0066951987642439,0.17868382932666,1.3120000170942607,0.1382732834806254,0.3396066597095641,0.2991909197718497
1992-01-31,17.4,2.856470206220483,-0.0051590828100271,-0.1802848059251904,-0.5145797598627766,-0.2506558900039147,-0.1244415975570019,-0.1056238693587488,0.112304554724677,0.2923168488303382,0.2328303479257453
1992-02-29,16.68,2.8142103969306005,0.0102441389985639,0.3653445889223672,1.029678982434867,-0.3426201296335287,-0.2474340820091076,0.1123394482559494,0.1025152957171991,0.2731291106418871,0.243033456477038
1992-03-31,16.18,2.7837759116303458,0.0130639494034245,0.4715015339568085,1.3149655604257848,-0.4064841849318718,-0.3360102735016605,0.1526060223129151,0.0957171991842284,0.2593105689670821,0.2449183801907527
1992-04-30,15.53,2.7427736371605955,-0.0266851920702579,-0.9635525824974622,-2.63322884012539,-0.4895074568197179,-0.4553428424356393,-0.4046591085624408,0.0868796736913664,0.2406938046968057,0.2188321713534353
1992-05-31,13.86,2.6290069937617573,0.0065146810211937,0.2484156384193969,0.6535947712418277,-0.702813401516184,-0.7864480309001256,0.0592573059122526,0.064174031271244,0.1890389438539197,0.2405486215681414
1992-06-30,13.35,2.5915163848462583,0.0105422663120244,0.4084607527180983,1.0598031794095242,-0.767954737920494,-0.8955602870040215,0.1165913069200652,0.0572399728076138,0.1720166240544684,0.2432324907731273
1992-07-31,13.17,2.5779415157551897,-0.024748169689194,-0.9508690116842966,-2.444444444444449,-0.7909457978278975,-0.935068436796414,-0.3780132673769921,0.0547926580557443,0.1658530601757199,0.2200794932103003
