date,value,pct_change_mom,pct_change_yoy,zscore_value,zscore_pct_change_mom,zscore_pct_change_yoy,minmax_value,minmax_pct_change_mom,minmax_pct_change_yoy
1990-01-31,0.06005,13.601967461218312,-75.62609083898202,0.0600499567346635,0.1397741513421045,-0.0417801438400636,0.1849597120927417,0.5612709554907888,0.1326316744036576
1990-02-28,0.04649,-12.530573847601143,-22.876575978765768,0.0464899562510692,-0.1084129017500845,-0.0210865890663942,0.1828004076562947,0.5568721243315095,0.1329826405920566
1990-03-31,0.0725,26.41673931996513,131.8516149664215,0.0724999571786716,0.2614791331150681,0.0396130458561228,0.1869422593076212,0.5634280368509658,0.1340121166651126
1990-04-30,0.10637,-2.4307466519904564,71.92500404073057,0.1063699583865875,-0.0124924048188121,0.0161039271679727,0.1923357431765343,0.5585722052400737,0.1336133980365907
1990-05-31,-0.0103,-133.2687338501292,-124.64114832535884,-0.0103000457742494,-1.2550923529631806,-0.0610086766430046,0.1737571260231217,0.5365485448503999,0.1323055552356285
1990-06-30,-0.16009,6.76937441643326,-279.2721164613662,-0.1600900511162548,0.0748833658374017,-0.1216701712047554,0.1499044555559094,0.5601208406654108,0.131276726029541
1990-07-31,-0.07792,-31.989176922405516,-184.88942150561064,-0.0779200481858016,-0.2932159523740377,-0.0846439829463587,0.1629892671741138,0.5535967019946619,0.1319046964438135
1990-08-31,0.17709,43.73021670318968,-288.71483375959076,0.1770899609086959,0.4259094072220331,-0.1253745348968367,0.2035972483200102,0.5663423750658682,0.1312138993948872
1990-09-30,0.37308,13.167713167713169,-337.8275004781029,0.3730799678983457,0.1356499334895798,-0.144641359653684,0.2348068409821969,0.5611978584546167,0.1308871307888444
1990-10-31,0.44932,1.1298672068422275,-1426.2101534828807,0.4493199706173155,0.0213236045152916,-0.5716122257241988,0.246947355011306,0.5591715552613098,0.1236456326962663
1990-11-30,0.46369,2.362083048190899,101.04491848768645,0.4636899711297971,0.0330262558121491,0.0275276254940994,0.2492356444472753,0.5593789713474006,0.1338071458920361
1990-12-31,0.51492,1.496067648276278,26.712109653763825,0.514919972956828,0.0248014985067918,-0.0016330228106605,0.2573935475652091,0.5592331969475617,0.1333125763654999
1991-01-31,0.38825,-13.247977834383518,-13.651224340012902,0.3882499684393579,-0.1152262605907731,-0.0174674975932539,0.2372225230102869,0.556751365352367,0.133044020995457
1991-02-28,0.09737,-42.19992876647275,-79.00105674049472,0.0973699580656178,-0.3901899274684317,-0.0431041378507629,0.1909025765151756,0.5518779493926641,0.1326092192413387
1991-03-31,-0.15233,30.923936398796737,-129.99566792690612,-0.1523300508395076,0.3042850717905927,-0.063109246571561,0.1511401636994808,0.5641867230696952,0.1322699292144179
1991-04-30,-0.2392,6.084796877771859,-174.90449051168034,-0.2392000539375783,0.0683817676986804,-0.080726909642808,0.1373069206025669,0.5600056072875155,0.1319711306694486
1991-05-31,-0.24053,-2.092237554442955,898.0497925311204,-0.2405300539850105,-0.0092775022047729,0.3401914302628186,0.1370951304181661,0.5586291857054787,0.139109976894742
1991-06-30,-0.27192,7.8277420889840466,49.54627949183303,-0.2719200551044814,0.0849349391089904,0.0073247874271684,0.1320965635848275,0.5602989932852028,0.1334645023419673
1991-07-31,-0.418,10.784235774296992,68.65039338309462,-0.4180000603141759,0.1130134733231829,0.0148193023674262,0.1088346762635752,0.560796653133569,0.1335916105827336
1991-08-31,-0.54425,2.3969445541946577,128.6572556927989,-0.5442500648166673,0.0333573439500834,0.0383599035519584,0.0887305328195165,0.5593848395053059,0.1339908631597181
1991-09-30,-0.56367,0.5494211455787656,87.12900869796162,-0.5636700655092486,0.0158109681543063,0.0220684351636818,0.0856380776457849,0.559073850097836,0.1337145571008416
1991-10-31,-0.58455,1.2453235416377997,28.275181040158003,-0.5845500662538983,0.0224201211975045,-0.001019832273549,0.0823131309914328,0.5591909897631836,0.1333229761807045
