,High Growth / High Inflation,Low Growth / Low Inflation,High Growth / High Inflation,Low Growth / Low Inflation
High Growth / High Inflation,0.9814148536735111,0.01858514632648885,1.599359611003167e-133,6.309010176111799e-188
Low Growth / Low Inflation,0.009199149559500292,0.9631908313455464,0.01841392381961029,0.009196095275343071
High Growth / High Inflation,1.414592856837789e-132,0.009552012510308728,0.9904479874896912,0.0
Low Growth / Low Inflation,1.0,1.2766467743098772e-130,0.0,0.0
