Model_Metrics,Values
AIC,828.0971624148515
BIC,953.9299814778872
Log-Likelihood,-383.04858120742574
N_Parameters,31
N_Samples,428
ANOVA_F_Statistic,5.101723446312843
ANOVA_P_Value,0.0017718561368652709
ANOVA_Significant,True
