n_regimes,AIC,BIC,log_likelihood,n_params,n_samples,AIC_rank,BIC_rank,best_by_AIC,best_by_BIC
2,1385.4654281045475,1430.1157832559472,-681.7327140522738,11,428,3.0,3.0,False,False
3,1313.1425396641027,1394.3250035757387,-636.5712698320514,20,428,2.0,2.0,False,False
4,828.0971624148515,953.9299814778872,-383.04858120742574,31,428,1.0,1.0,True,True
