regime1,regime2,mean1,mean2,mean_diff,t_statistic,p_value,significant
High Growth / High Inflation,Low Growth / Low Inflation,0.012588230481988701,-0.0025100951417545364,0.015098325623743237,2.483891557821401,0.01376300146493748,True
High Growth / High Inflation,High Growth / High Inflation,0.012588230481988701,0.005245201856115395,0.007343028625873306,1.5470181971506014,0.12285657511980509,False
High Growth / High Inflation,Low Growth / Low Inflation,0.012588230481988701,0.1267290173024282,-0.11414078682043949,-2.7146768291818866,0.007735400922474794,True
Low Growth / Low Inflation,High Growth / High Inflation,-0.0025100951417545364,0.005245201856115395,-0.007755296997869932,-1.5563079248582856,0.12063265699340207,False
Low Growth / Low Inflation,Low Growth / Low Inflation,-0.0025100951417545364,0.1267290173024282,-0.12923911244418274,-2.718869179671979,0.007644403648688965,True
High Growth / High Inflation,Low Growth / Low Inflation,0.005245201856115395,0.1267290173024282,-0.1214838154463128,-3.0914050898868033,0.0022622535807803813,True
