date,regime,growth_factor,inflation_factor,erp,regime_name
1990-01-01,2,-0.5057798809853797,0.7571455612341405,-0.0754196194721885,Stagflation
1990-02-01,1,0.9081631000016132,0.4406264410021787,0.0024883501337749,Overheating
1990-03-01,1,0.4981569957103637,0.3774804033259027,0.0170981517372268,Overheating
1990-04-01,2,-0.261981249171328,0.2100520048108567,-0.0332878267589537,Stagflation
1990-05-01,1,0.304151938227859,0.224825464442091,0.084975668456295,Overheating
1990-06-01,1,0.3391573440977957,0.4418957665710987,-0.0155629965812373,Overheating
1990-07-01,2,-0.1747344767991432,0.2468430951101607,-0.0118060204894991,Stagflation
1990-08-01,1,0.3492835780922076,0.6650027638653855,-0.101360449353467,Overheating
1990-09-01,2,0.0076254021208255,0.614017571884995,-0.0569284184147121,Stagflation
1990-10-01,2,-0.5842518859517476,0.5722318696766759,-0.0131785276954674,Stagflation
1990-11-01,3,-1.271560849731168,0.126621828287643,0.0541321692246543,Slowdown
1990-12-01,3,-0.7339529719835425,0.09361450532126,0.0192978082912949,Slowdown
1991-01-01,2,-0.3255879168894804,0.380671096890639,0.0361621017055271,Stagflation
1991-02-01,3,-0.7388505859934114,0.0506726384098543,0.0626595376701035,Slowdown
1991-03-01,3,-0.5754418806996231,0.0212390537184692,0.0173556132523351,Slowdown
1991-04-01,1,0.2638618636735756,0.1813103346890887,-0.0047782652536851,Overheating
1991-05-01,1,0.9414187900247616,0.4141394378138541,0.0336751821146612,Overheating
1991-06-01,0,0.8103066817548354,0.1688695482739532,-0.0524668659686283,Goldilocks
1991-07-01,0,0.2800606256528226,0.1572378019127907,0.0398266761004793,Goldilocks
1991-08-01,2,-0.0011339613319227,0.2330587340378942,0.0148381835663307,Stagflation
1991-09-01,1,0.7932959445843046,0.3439311491821639,-0.02341704956175,Overheating
1991-10-01,2,-0.0546452478724535,0.1866632337796048,0.0073336553243335,Stagflation
1991-11-01,2,-0.1582362447837493,0.2200449726951436,-0.0474453239344666,Stagflation
1991-12-01,2,-0.4862523777080851,0.2500120198086319,0.1080951685482503,Stagflation
1992-01-01,3,-0.5237500242776694,0.1358847697152887,-0.0231839668667169,Slowdown
1992-02-01,1,0.7059692556002473,0.2538395223346867,0.0066071306513311,Overheating
1992-03-01,1,0.8525660185312312,0.2420497794480614,-0.0254511717010593,Overheating
1992-04-01,1,0.7590126747747616,0.2700598897520168,0.0246886054123089,Overheating
1992-05-01,0,0.3291094964783747,0.1330819563047702,-0.0019917574958177,Goldilocks
1992-06-01,2,0.0511853448275756,0.1772067781592667,-0.0206334051403597,Stagflation
1992-07-01,1,0.9207064715544,0.3300955539761618,0.0365067334245561,Overheating
1992-08-01,3,-0.5591861589262614,0.1338076947295485,-0.026666808324258,Slowdown
1992-09-01,0,0.3298543432663114,0.1634988759452227,0.0066288947493802,Goldilocks
1992-10-01,1,0.675158053367686,0.3531461397203062,-0.0003406230145659,Overheating
1992-11-01,1,0.3792217126696195,0.1970659075979597,0.0278419423883458,Overheating
1992-12-01,3,0.1688920989630027,0.1748251748251883,0.0072304444227884,Slowdown
1993-01-01,1,0.3839896069506743,0.2430815258040342,0.0047279534581874,Overheating
1993-02-01,0,0.4815953484483826,0.1507803270534236,0.0082248512527878,Goldilocks
1993-03-01,2,-0.0873531980976505,0.2048766859644057,0.0159424665162164,Stagflation
1993-04-01,1,0.2743160602107775,0.266414708570184,-0.0278616919898421,Overheating
1993-05-01,2,-0.3784401377208368,0.3089614261659434,0.0203139295816374,Stagflation
1993-06-01,0,0.2255186465793812,0.0338810774182407,-0.0019936012770387,Goldilocks
1993-07-01,0,0.2696746193213917,0.160110845970296,-0.0079227224437727,Goldilocks
1993-08-01,3,-0.120574086248093,0.1706143654221614,0.0317304799632851,Slowdown
1993-09-01,0,0.5305512966212289,0.1043424888752531,-0.0124980579068898,Goldilocks
1993-10-01,1,0.733038914392603,0.3142340353781581,0.0169361049823015,Overheating
1993-11-01,1,0.4569413629881946,0.1894778662347329,-0.015437112279053,Overheating
1993-12-01,0,0.5922741331301662,0.0228773620876365,0.0073570499895849,Goldilocks
1994-01-01,0,0.2877812441767657,0.0335457900033642,0.0300817589187341,Goldilocks
1994-02-01,2,0.0582901651454692,0.2316931894396745,-0.0325591573129598,Stagflation
