date,regime,regime_name,growth_factor,inflation_factor,monetary_policy_factor,market_volatility_factor,erp,prob_R0,prob_R1,prob_R2,prob_R3
1990-01-01,2,High Growth / High Inflation,-0.5057798809853797,0.7571455612341405,8.23,22.29,-0.0754196194721885,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-02-01,2,High Growth / High Inflation,0.9081631000016132,0.4406264410021787,8.24,22.29,0.0024883501337749,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-03-01,2,High Growth / High Inflation,0.4981569957103637,0.3774804033259027,8.28,22.29,0.0170981517372268,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-04-01,2,High Growth / High Inflation,-0.261981249171328,0.2100520048108567,8.26,22.29,-0.0332878267589537,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-05-01,2,High Growth / High Inflation,0.304151938227859,0.224825464442091,8.18,22.29,0.084975668456295,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-06-01,2,High Growth / High Inflation,0.3391573440977957,0.4418957665710987,8.29,22.29,-0.0155629965812373,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-07-01,2,High Growth / High Inflation,-0.1747344767991432,0.2468430951101607,8.15,22.29,-0.0118060204894991,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-08-01,2,High Growth / High Inflation,0.3492835780922076,0.6650027638653855,8.13,22.29,-0.101360449353467,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-09-01,2,High Growth / High Inflation,0.0076254021208255,0.614017571884995,8.2,22.29,-0.0569284184147121,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-10-01,2,High Growth / High Inflation,-0.5842518859517476,0.5722318696766759,8.11,22.29,-0.0131785276954674,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-11-01,2,High Growth / High Inflation,-1.271560849731168,0.126621828287643,7.81,22.29,0.0541321692246543,0.17487770452710946,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-12-01,2,High Growth / High Inflation,-0.7339529719835425,0.09361450532126,7.31,22.29,0.0192978082912949,0.17487770452710957,0.1748777045271094,0.4753668864186716,0.1748777045271094
1991-01-01,2,High Growth / High Inflation,-0.3255879168894804,0.380671096890639,6.91,26.62,0.0361621017055271,0.17487770452711635,0.174877704527108,0.47536688641866776,0.174877704527108
1991-02-01,2,High Growth / High Inflation,-0.7388505859934114,0.0506726384098543,6.25,21.04,0.0626595376701035,0.17487770452841164,0.17487770452740617,0.4753668864167761,0.17487770452740617
1991-03-01,2,High Growth / High Inflation,-0.5754418806996231,0.0212390537184692,6.12,20.86,0.0173556132523351,0.1748777045296426,0.17487770452769508,0.4753668864149674,0.17487770452769508
1991-04-01,2,High Growth / High Inflation,0.2638618636735756,0.1813103346890887,5.91,17.42,-0.0047782652536851,0.17487770452802406,0.17487770452732793,0.47536688641732006,0.17487770452732793
1991-05-01,2,High Growth / High Inflation,0.9414187900247616,0.4141394378138541,5.78,17.77,0.0336751821146612,0.1748777045352264,0.17487770452898566,0.4753668864068023,0.17487770452898566
1991-06-01,2,High Growth / High Inflation,0.8103066817548354,0.1688695482739532,5.9,16.87,-0.0524668659686283,0.17487770452819618,0.17487770452736018,0.4753668864170835,0.17487770452736018
1991-07-01,2,High Growth / High Inflation,0.2800606256528226,0.1572378019127907,5.82,18.64,0.0398266761004793,0.17487770452932155,0.17487770452762566,0.4753668864154272,0.17487770452762566
1991-08-01,2,High Growth / High Inflation,-0.0011339613319227,0.2330587340378942,5.66,15.47,0.0148381835663307,0.17487770453217003,0.17487770452828186,0.4753668864112662,0.17487770452828186
1991-09-01,2,High Growth / High Inflation,0.7932959445843046,0.3439311491821639,5.45,16.57,-0.02341704956175,0.17487770456181442,0.17487770453512522,0.47536688636793517,0.17487770453512522
1991-10-01,2,High Growth / High Inflation,-0.0546452478724535,0.1866632337796048,5.21,14.81,0.0073336553243335,0.1748777046296113,0.17487770455078847,0.47536688626881174,0.17487770455078847
1991-11-01,2,High Growth / High Inflation,-0.1582362447837493,0.2200449726951436,4.81,15.6,-0.0474453239344666,0.17487770613030099,0.17487770489754006,0.4753668840746189,0.17487770489754006
