HMM Regime,0,1,2,3
0,0.09375,0.0625,0.53125,0.3125
1,0.2619047619047619,0.19047619047619047,0.25,0.2976190476190476
2,0.270935960591133,0.2660098522167488,0.26108374384236455,0.2019704433497537
3,0.3302752293577982,0.23853211009174313,0.22935779816513763,0.2018348623853211
