n_regimes,AIC,BIC,log_likelihood,n_params,n_samples,AIC_rank,BIC_rank,best_by_AIC,best_by_BIC
2,3712.471411581288,3789.594752297342,-1837.235705790644,19,428,3.0,3.0,False,False
3,3340.0902060448593,3469.9821483034766,-1638.0451030224297,32,428,2.0,2.0,False,False
4,3046.7367098776663,3237.5155000700106,-1476.3683549388331,47,428,1.0,1.0,True,True
