,full_regression_acc_60_return,full_regression_acc_60_weight,full_regression_acc_60_forecast,regime_2x2_acc_60_return,regime_2x2_acc_60_weight,regime_2x2_acc_60_forecast,extreme_isolation_acc_60_return,extreme_isolation_acc_60_weight,extreme_isolation_acc_60_forecast,extreme_pca_acc_60_return,extreme_pca_acc_60_weight,extreme_pca_acc_60_forecast
2000-01-31,-0.04533316998468599,0.9,0.005642243801898264,-0.019302221495864594,0.43268756699215943,-0.0023532349404544843,-0.024138561704365676,0.5195104467139201,0.0006706440871486483,-0.01979989323694889,0.4416218627311419,-0.0016565900087292243
2000-02-29,-0.017615661331268,0.9,0.005642243801898264,-0.01674890535445665,0.8652251706019083,0.012768230090476009,-0.017615661331268,0.9,0.025761446287682007,-0.017615661331268,0.9,0.019248564537579418
2000-03-31,0.08753790620746178,0.9,0.005642243801898264,0.044629327309147676,0.43268756699215943,-0.0023532349404544843,0.0449861987733387,0.4365742133571531,-0.002180171956515423,0.047584942976413115,0.46487683971962734,-0.000996686073203969
2000-04-30,-0.02723123803867649,0.9,0.005642243801898264,-0.02723123803867649,0.9,0.016436955862028826,-0.02723123803867649,0.9,0.019278362451137315,-0.02723123803867649,0.9,0.01575849906719427
2000-05-31,-0.019254331195536812,0.9,0.005642243801898264,-0.006820706171329193,0.43268756699215943,-0.002353234940454484,-0.012293808790159634,0.6383917679735811,0.004757021828480833,-0.011867282632160489,0.6223609663169444,0.0034722237423501154
2000-06-30,0.022030194284105232,0.9,0.005642243801898264,0.014980306257485174,0.5296072818131807,0.0010350671776571188,0.017541031523211577,0.6641447366097213,0.005642243801898264,0.01820125990509569,0.698832349245093,0.005642243801898264
2000-07-31,-0.014184635982400665,0.9,0.005642243801898264,-0.00761019763921699,0.5951517012358998,0.003326492565881906,-0.009098119530246732,0.6641447366097213,0.005642243801898264,-0.009846201679525718,0.698832349245093,0.005642243801898264
2000-08-31,0.05515496467667951,0.9,0.005642243801898264,0.029246835574507975,0.43268756699215943,-0.002353234940454484,0.032993857702463165,0.5002736910323624,9.407743208077017e-06,0.0339898690237677,0.5182390358871232,0.0005175671241497469
2000-09-30,-0.04761548622458847,0.9,0.005642243801898264,-0.020196109449222406,0.43268756699215943,-0.0023532349404544834,-0.030411684613719812,0.6067931027891896,0.003670862281319742,-0.032706646591130484,0.6459064741145285,0.004140372038831328
2000-10-31,-0.003922879420725642,0.9,0.005642243801898264,-0.0007430988862790078,0.590265901167266,0.003155685555648822,0.0006039420304777606,0.45905417132532395,-0.0014074551083692625,0.001535090364638937,0.3683534493614403,-0.0037357197518503417
