annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,calmar_ratio,total_return,n_periods,strategy,hit_rate,n_predictions,turnover
0.06263518357602926,0.09537250886008633,0.6860139289579024,-0.28559934543168103,0.2193113695038646,3.8282559941810437,311,regime_2x2,0.5741935483870968,310,0.11675165847391673
0.06721596442757094,0.10951996795000046,0.6503681567631565,-0.336144552794008,0.19996148641671252,4.397663222113038,311,extreme_isolation,0.6290322580645161,310,0.09304734663383601
0.060158879974940405,0.10248122995915988,0.622442206485284,-0.3254844772971795,0.18482872201617498,3.5449655289504802,311,regime_2x2_acc_40,0.5193548387096775,310,0.20957153370236428
0.059372204516043414,0.10441367521884679,0.6059928144519572,-0.2899670634736666,0.20475499460108618,3.458364164552955,311,extreme_pca_acc_60,0.6258064516129033,310,0.22382436732211158
0.06524619484734573,0.11638778651282801,0.6029420509650226,-0.4076356744936977,0.16006007062160227,4.14531870749357,311,extreme_pca,0.6096774193548387,310,0.09022398339940824
0.05874841054241542,0.1066755239261959,0.5898996589959595,-0.32611499968510504,0.18014629992224393,3.3908236102380664,311,extreme_pca_acc_80,0.5741935483870968,310,0.18142900613499355
0.05521242956014394,0.10135152988023041,0.5820047383144398,-0.2993989519912951,0.18441089787698794,3.0261723499194177,311,regime_2x2_acc_60,0.5258064516129032,310,0.19590603787554575
0.054363455386681414,0.10536359864558721,0.5562402327475738,-0.31790951061041045,0.17100292244261409,2.943057410308572,311,extreme_isolation_acc_60,0.6161290322580645,310,0.2201195517530931
0.05403312278837524,0.10630224664442207,0.5494308804682314,-0.34743285569576354,0.15552105076582168,2.9111656039128864,311,extreme_isolation_acc_80,0.567741935483871,310,0.18906448288646052
0.04879455499641505,0.09864691643122639,0.5333069494290592,-0.3154280562534742,0.15469313534115156,2.4373742656472785,311,regime_2x2_acc_80,0.5483870967741935,310,0.1718271705973061
0.04870135887407345,0.10250436585690546,0.5160848802882656,-0.3942005391939698,0.1235446277512815,2.4294668845224336,311,extreme_pca_acc_40,0.5774193548387097,310,0.23750701742512087
0.04687725548852195,0.1003307965865061,0.5076272003394056,-0.3760429395318394,0.12465931562731247,2.2781731893903534,311,extreme_isolation_acc_40,0.567741935483871,310,0.22955672603313862
0.05745724013646969,0.13664565628451095,0.47860100842980957,-0.4857236801191591,0.1182920299919784,3.254135221224579,311,full_regression_acc_40,0.6064516129032258,310,0.0
0.05745724013646969,0.13664565628451095,0.47860100842980957,-0.4857236801191591,0.1182920299919784,3.254135221224579,311,full_regression_acc_60,0.6064516129032258,310,0.0
0.05745724013646969,0.13664565628451095,0.47860100842980957,-0.4857236801191591,0.1182920299919784,3.254135221224579,311,full_regression_acc_80,0.6064516129032258,310,0.0
0.05745724013646969,0.13664565628451095,0.47860100842980957,-0.4857236801191591,0.1182920299919784,3.254135221224579,311,full_regression,0.6064516129032258,310,0.0
