horizon,model1,model2,dm_statistic,p_value,mean_loss_diff,n_obs
1,TVP-VAR,Static VAR,-1.4885364193845163,0.13660948499741266,-0.004127220118171993,301
3,TVP-VAR,Static VAR,-1.0229635399640866,0.3063250849064807,-0.004545225006800154,301
6,TVP-VAR,Static VAR,-0.874768101524818,0.3817000967848263,-0.0030644850648914325,301
