horizon,rmse,mae,n_forecasts,variable
1,1.2271908500431499,0.6273859962966534,301,growth
3,1.2633584173215973,0.6017633836869721,301,growth
6,1.1837909508400377,0.6080416546857031,301,growth
1,0.20624218547958184,0.1496280722528013,301,inflation
3,0.23001039876608825,0.15841514812028387,301,inflation
6,0.22878116773556562,0.1581910350462302,301,inflation
