combination,K,regime,variable,coefficient,t_statistic,p_value,n_observations,n_effective,avg_weight,r_squared,rmse
all_4vars,2,0,export_price_index,0.07872553110415083,2.7199151509333777,0.007437396692649312,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,import_price_index,-0.014795557706799635,-0.5541041217314863,0.5804742120560322,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,retail_sales,-0.046964484604472084,-1.0452072489202229,0.2978967477395065,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,tot_business_inventories,-0.027059654488794382,-0.7147640461407776,0.47605624482056097,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,unemployment,0.0121300726352236,1.3051773624441476,0.19417346273251845,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,cpi,0.5846583241762792,2.4526190400248598,0.01552874004649274,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,PCE_price_index,-0.5013765358320857,-2.082465812768705,0.039290781013866516,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,PPI_inflation,-0.11655487405712422,-1.9447403071342058,0.05399892431304809,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,vix,-0.038575180697199805,-7.285532863955048,2.9100277743054903e-11,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,nat_fin_condition_indx,0.01437479962323889,3.11756610543029,0.0022522907291275818,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,10y_2y_spread,0.010016469624041029,1.0087798114354825,0.3149831364737108,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,10y_treasury_const_maturity_rate,-0.025287803472337642,-1.6814793334615346,0.0951078509564538,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,fed_reserve_discount_rate,0.012797607736625057,0.5349433292074299,0.5936169965143474,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,fedfunds,0.019663621970076,0.6683540481786365,0.5051109007227532,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,0,m2_real_money_supply,0.04429466916568172,1.427722539573469,0.155806599272301,356,144.01874222983457,0.40454702873549037,0.393234452097067,0.03342719614273346
all_4vars,2,1,export_price_index,0.08056810724240157,3.486294659073707,0.0006044058291096999,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,import_price_index,-0.029302458397561064,-1.0710092724123235,0.2854824377674423,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,retail_sales,-0.0250174376360215,-0.50833009477886,0.6117935732870559,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,tot_business_inventories,-0.03971737060362913,-0.8804261683199843,0.37970685383665304,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,unemployment,0.011032765130649361,1.0024218884636864,0.31737594144407044,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,cpi,0.45614599765116576,2.111578505649411,0.035989817561201454,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,PCE_price_index,-0.38607850086019074,-1.8294179897954264,0.06885650091801421,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,PPI_inflation,-0.08942883616361096,-1.761839363654719,0.07965557088808928,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,vix,-0.035026656980958366,-7.490747574637165,2.2875035199376725e-12,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,nat_fin_condition_indx,0.013744467588893364,2.85728660975782,0.004734117556593143,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,10y_2y_spread,0.0011550347669216658,0.15780226463595118,0.8747750828745904,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,10y_treasury_const_maturity_rate,-0.02482980751271988,-2.4622662426314257,0.014669832294198049,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,fed_reserve_discount_rate,0.003643935142287526,0.21193790569350499,0.8323757270903953,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,fedfunds,0.017888612125874344,0.8190186170996763,0.4137706124324181,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,2,1,m2_real_money_supply,0.02427654969312321,0.7205993161735758,0.4720147031236248,356,211.98125777016548,0.5954529712645098,0.31317327272648765,0.03357025857496022
all_4vars,3,0,export_price_index,0.06945355124238321,2.596966541479083,0.010637527529550717,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,import_price_index,-0.021391183344591648,-0.6731602537473403,0.5022003615213606,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,retail_sales,-0.03009534598016673,-0.5325605033240092,0.5953687761755786,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,tot_business_inventories,-0.03318209365412426,-0.677001509842323,0.499769058624397,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,unemployment,0.013218718616321968,1.0903162857934263,0.27786068141999887,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,cpi,0.5322261258910768,2.0307707884428163,0.044592394921907585,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,PCE_price_index,-0.453351191623337,-1.7485835152859555,0.0830402797142733,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,PPI_inflation,-0.08969143728124965,-1.557197588640522,0.12218048325841413,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,vix,-0.0349967370582567,-6.248386993197487,7.287542791445389e-09,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,nat_fin_condition_indx,0.012379915844708421,2.158967884612758,0.03293720036824621,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,10y_2y_spread,0.0031937730452024334,0.3542388354650495,0.7238107460254775,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,10y_treasury_const_maturity_rate,-0.017813950275750952,-1.4644283037207197,0.14581434986082153,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,fed_reserve_discount_rate,0.00041027237372640577,0.018810196189965336,0.9850252245230124,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,fedfunds,0.02188067698819121,0.7853115205789986,0.4338912117391245,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,0,m2_real_money_supply,0.02645720240726821,0.6940291495766123,0.4890681558629977,356,130.62032315850274,0.3669110201081538,0.3271024421111993,0.029678277951619085
all_4vars,3,1,export_price_index,0.08947985430284426,2.4457408752719942,0.01627405087658773,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,import_price_index,-0.026569011621381373,-0.6675182027337908,0.5060401251531204,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,retail_sales,-0.016623406143664508,-0.24975802268514125,0.8033072916175397,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,tot_business_inventories,-0.04074144501875976,-0.6433512921907508,0.5215275979866423,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,unemployment,0.011618901958674158,0.7649032075907825,0.4462024645047946,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,cpi,0.4063607380521651,1.2763387857425967,0.2049100024711954,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,PCE_price_index,-0.3462660895143235,-1.1146756788655336,0.26776780284891855,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,PPI_inflation,-0.10689935010240717,-1.3084258614258384,0.1938478991091892,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,vix,-0.03793035163116144,-5.474767403093573,3.489179571936063e-07,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,nat_fin_condition_indx,0.01583960166451122,2.362456048068706,0.020168838439366787,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,10y_2y_spread,0.0014430099511622467,0.12899721924296847,0.8976292947930689,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,10y_treasury_const_maturity_rate,-0.03168166817524863,-1.9716521238062752,0.051523135375833196,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,fed_reserve_discount_rate,0.009431535930465758,0.36458590057599777,0.7162211433942858,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,fedfunds,0.01384803764109524,0.4350773255551513,0.6644812876463302,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,1,m2_real_money_supply,0.02610999742217231,0.5554237646259137,0.579894814398388,356,112.1533667016548,0.31503754691476066,0.3497447809623355,0.03719751292680956
all_4vars,3,2,export_price_index,0.07697860224034375,2.313786514613796,0.02278530285745739,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,import_price_index,-0.01372580693911073,-0.44816432865616856,0.6550317105947308,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,retail_sales,-0.05425166374340897,-1.0141596993637787,0.3130237182113751,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,tot_business_inventories,-0.031054201660923195,-0.704462516592442,0.48282879394768186,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,unemployment,0.010402136410282512,0.9357218750476818,0.3517347612694097,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,cpi,0.5775167212526696,2.1127571039277924,0.0371831022093585,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,PCE_price_index,-0.48656971088556644,-1.7601354288827973,0.08152978435918623,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,PPI_inflation,-0.11528189450926102,-1.6781794398903063,0.09652375356643095,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,vix,-0.03792491681692607,-6.112141109261625,2.040612478992898e-08,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,nat_fin_condition_indx,0.01388946724113999,2.5813966740725003,0.011333218179876425,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,10y_2y_spread,0.010007005368255557,0.8809176516029579,0.3805348376250537,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,10y_treasury_const_maturity_rate,-0.025829872601452277,-1.499281425363587,0.13704076665072984,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,fed_reserve_discount_rate,0.011865888551075504,0.43270115588477887,0.6661901948022253,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,fedfunds,0.020919519813156963,0.6197139962440331,0.5368957391516478,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,3,2,m2_real_money_supply,0.04755889043363434,1.3135814995545285,0.19207839527934567,356,113.22631013984245,0.31805143297708555,0.3758840266478829,0.033413564653761364
all_4vars,4,0,export_price_index,0.06852747945771033,1.5898443561564248,0.11767721016885191,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,import_price_index,-0.02069034613272479,-0.430566164246119,0.6684884806540317,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,retail_sales,-0.01195694944301019,-0.15364666902015747,0.8784580615028952,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,tot_business_inventories,-0.029962778749000836,-0.41402114465821727,0.6804898406290283,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,unemployment,0.014353716240770378,0.8307376163102433,0.4097605959383319,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,cpi,0.4580131851420395,1.1624135913055567,0.25015215113102096,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,PCE_price_index,-0.39833462963999466,-1.0185556975979482,0.3129318048250851,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,PPI_inflation,-0.09430531918881876,-0.9381350988245629,0.35233013971771165,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,vix,-0.03918796773051592,-4.555474497004792,3.0004753792001182e-05,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,nat_fin_condition_indx,0.014715447977492304,1.8955882929480676,0.06334316326578393,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,10y_2y_spread,0.0068787391690821814,0.46762551425127535,0.6419241864362948,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,10y_treasury_const_maturity_rate,-0.03102732962899464,-1.44763142586493,0.15347072215549273,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,fed_reserve_discount_rate,-0.0027563193112639262,-0.08879519947487409,0.9295714364517784,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,fedfunds,0.031204571241123205,0.7690822056698516,0.44517773590671794,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,0,m2_real_money_supply,0.01981204840209524,0.3680386579646054,0.7142755653152704,356,70.28818313675497,0.197438716676278,0.4039790894101112,0.03530463787024564
all_4vars,4,1,export_price_index,0.08430844489276666,2.1672442659131566,0.033568096400783176,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,import_price_index,-0.027401568124942186,-0.6708164679523171,0.5045113968165675,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,retail_sales,-0.039850429799127396,-0.56229975156243,0.575680844840861,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,tot_business_inventories,-0.030307644073184776,-0.4907208152944407,0.6251354795993576,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,unemployment,0.013770168719021455,0.9164920417665219,0.3625079182662687,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,cpi,0.5360921676378668,1.5886655147154032,0.11657442470322033,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,PCE_price_index,-0.4643479304708714,-1.3891961009504563,0.16910994776748778,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,PPI_inflation,-0.09666663559212804,-1.1790471951418375,0.24231096375901506,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,vix,-0.036987508860454404,-5.1400486506562055,2.318268041312521e-06,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,nat_fin_condition_indx,0.01450984704580777,2.010612875476775,0.04816103166438168,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,10y_2y_spread,0.007525459757226949,0.6298904591741404,0.5307858847041338,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
all_4vars,4,1,10y_treasury_const_maturity_rate,-0.02296290028738373,-1.349770613203185,0.18137257254082706,356,87.08113649633837,0.24460993397847858,0.34739133231097374,0.03159788139136804
