combination,K,regime,avg_weight,r_squared,10y_2y_spread,10y_treasury_const_maturity_rate,PCE_price_index,PPI_inflation,cpi,export_price_index,fed_reserve_discount_rate,fedfunds,import_price_index,m2_real_money_supply,nat_fin_condition_indx,retail_sales,tot_business_inventories,unemployment,vix
2vars_growth_inflation,2,0,0.6903157087521309,0.2876806284277052,0.0044519070366783,-0.0234328129077193,-0.4040542490244848,-0.0983627522675091,0.4767150125059949,0.0838930568778489,0.0086495738853216,0.015207958080194,-0.0277562784302725,0.0294544271401595,0.0146740340126093,-0.0301181905624316,-0.0349483599984318,0.0106674316569883,-0.0348612987785403
2vars_growth_inflation,2,1,0.3096842912478691,0.445500195984628,0.005420345712926,-0.0259694800218151,-0.5037608229698023,-0.1145598039545907,0.5940520476707271,0.0779169330745957,0.0070164114083242,0.0223628344632072,-0.012583946615178,0.0445849087477593,0.0143272924406805,-0.0464724743811109,-0.0404965813591013,0.0116857680549903,-0.0394147162034741
2vars_growth_inflation,3,0,0.538891955000804,0.2861106036705991,0.0045655014747584,-0.0234513169342171,-0.4155436566716799,-0.0974222041988036,0.4894169513883695,0.0846644841659255,0.0091469703583272,0.0150598720451179,-0.0286881207837015,0.0303386149101015,0.0142956548678972,-0.0328412757558882,-0.034955754720292,0.0104191475960864,-0.0347013810735959
2vars_growth_inflation,3,1,0.2468615654664759,0.4317293774573583,0.0057157123829267,-0.0270926832469841,-0.4307974464233942,-0.1204174482988363,0.5249473193001117,0.0770507153061802,0.003761569239143,0.0247556455954578,-0.0087268086485183,0.0410263604559229,0.0149075318627383,-0.0354122303019748,-0.050352386495182,0.009772242258561,-0.0393930335898429
2vars_growth_inflation,3,2,0.21424647953272,0.3677045090120079,0.0039628086951922,-0.0235250459501596,-0.4709808030106763,-0.1002760882878541,0.5446883064086703,0.0775613129802209,0.0080430802356221,0.0183002866539342,-0.0234570775422619,0.0321982005263665,0.0134258630805525,-0.0386129606110903,-0.0240813945679021,0.0149614574220379,-0.0365075943523375
2vars_growth_inflation,4,0,0.443379181411404,0.2901741998682912,0.0057774420903592,-0.0242054661632751,-0.405043238983967,-0.1019652769372619,0.4788881779757451,0.0867871431483092,0.0102910377727053,0.0157118812435757,-0.0293938829289536,0.0291143730860464,0.0144998378694237,-0.0293563302406923,-0.0337215017245771,0.0112689039357787,-0.0347419545551824
2vars_growth_inflation,4,1,0.1767791645658931,0.3674581399535679,0.0038211654176652,-0.023360018067881,-0.4736906583263519,-0.0997261140822218,0.5475001608500524,0.0779492490781931,0.0083276507319708,0.017838942709037,-0.0240063188326393,0.0324323937495493,0.0133640704178115,-0.039317414713596,-0.0241198401119336,0.0149210780111539,-0.0364481889973781
2vars_growth_inflation,4,2,0.1860975742957271,0.3464629320574164,0.0025768371856552,-0.022843544802898,-0.4358610099989853,-0.1010582767487801,0.5088385255448992,0.072580635785177,0.0032386527652084,0.019139067898522,-0.0157246671977265,0.031800971848505,0.0140227362245914,-0.0317997277649882,-0.0328784090436432,0.01191392690713,-0.0365461510775122
2vars_growth_inflation,4,3,0.1937440797269755,0.4294466222744063,0.0052997481521342,-0.0269337189316674,-0.457350254363347,-0.1147627775751054,0.5503001815267432,0.0819226588402791,0.0053687356198652,0.0234267022282587,-0.0151921873556042,0.0432150766001513,0.0145671069446893,-0.0385155575400696,-0.0522159823651532,0.0097305692099123,-0.0393261421190872
2vars_growth_inflation,5,0,0.1632687131308599,0.4287017275352236,0.0054900953238936,-0.0273815313169559,-0.481513897822014,-0.1125844525877334,0.5717676211451883,0.0816226659612626,0.0057946146991746,0.0233573983214188,-0.0155851716355083,0.0440511975920167,0.0141424914449141,-0.0402913732085751,-0.0502440139551013,0.0096825198710077,-0.0390641408551797
2vars_growth_inflation,5,1,0.1738006751246296,0.3243849924401969,0.0053733529244347,-0.0230154838211161,-0.3571610953956966,-0.1058223201426505,0.4155667800852236,0.076671689096779,0.0049710413267027,0.0179655233936039,-0.0233002714779682,0.0162507582313866,0.0153820502413383,-0.0064637022031393,-0.0213128984721742,0.0158296517395667,-0.0370501434658315
2vars_growth_inflation,5,2,0.356453061116988,0.2976891431582751,0.004300752141369,-0.024178039964598,-0.4577087231149126,-0.0968419746991752,0.5448570023148207,0.0854198870442645,0.0096450655823445,0.016853427805319,-0.0269177893735302,0.0405012423246016,0.0136346530684422,-0.0480838881718782,-0.0447231376004608,0.0083849610076544,-0.0347065033336915
2vars_growth_inflation,5,3,0.1557485148741328,0.3513878046991505,0.0043723445718271,-0.0239976596220809,-0.4290658672198472,-0.1043453796681815,0.503723308418734,0.0747991721586816,0.0053788816786594,0.0198489941405097,-0.0172649822464583,0.0308953816224378,0.0137926953673091,-0.0308442799219062,-0.0315192034546999,0.012497989080208,-0.0363093191232387
2vars_growth_inflation,5,4,0.1507290357533896,0.3673393733384201,0.0039508342340893,-0.0234368279492207,-0.4783002172279675,-0.0997242520680973,0.5522341447178801,0.0780800641100524,0.0086499587180107,0.0176464979704056,-0.0240560159664162,0.0328226491218559,0.0133475353639707,-0.040007590783377,-0.0240199308106501,0.0148308211054369,-0.0364311528234017
2vars_growth_inflation,6,0,0.3106111110957997,0.2989870750503158,0.0042885909774143,-0.024108077401082,-0.4619326703677058,-0.0961956344576626,0.5496773678134641,0.085772301363757,0.0097705929916638,0.0166924733572611,-0.0274114398498097,0.0408332178628294,0.0136841814661568,-0.0490886787495131,-0.0451677979223727,0.0082126594078387,-0.0348269193556654
2vars_growth_inflation,6,1,0.1394923161297044,0.4232718851199638,0.0052211574553614,-0.02726082327421,-0.4719245985174042,-0.1118237143860624,0.5554804451091317,0.0791338865523463,0.0050667799827831,0.0239453195387012,-0.0151594640714005,0.0405572608798575,0.0138957632744543,-0.0347027014449131,-0.0444271614620904,0.0116334071939608,-0.0387576373801011
2vars_growth_inflation,6,2,0.1318046380957768,0.3499052371103294,0.0045041487951401,-0.0243956932819236,-0.4459777726749374,-0.1047189744925135,0.526418027794354,0.0795493422771985,0.0070861540464635,0.0189880290007681,-0.0207085135869858,0.0345086959359913,0.0136453575127975,-0.0364161516217462,-0.036114892951453,0.0116327538114635,-0.0364440212012868
2vars_growth_inflation,6,3,0.1310485234932962,0.3672273885854681,0.0039543363704904,-0.023455036052179,-0.4777424197752257,-0.0997024191701196,0.5517044958651437,0.078013407714765,0.0086100660945075,0.0177226936853988,-0.0240264620918533,0.0327871881019162,0.0133211524715391,-0.039943535122575,-0.0240514304117188,0.0148409211139781,-0.036408782759895
2vars_growth_inflation,6,4,0.1512236051029046,0.3225564737926956,0.0052726962536002,-0.0230447062330009,-0.3527892896222342,-0.1051450954687313,0.4100366295031022,0.0763854244412664,0.0047947208588155,0.0179714278876334,-0.0234410848482709,0.0158086797634595,0.0155614674897433,-0.00578398499695,-0.0208287444644903,0.0159133818811659,-0.0369994153210224
2vars_growth_inflation,6,5,0.1358198060825182,0.3543217369067756,0.0046431291287071,-0.0241361635670419,-0.4314764703273506,-0.1061824788821665,0.5110010705308825,0.0764622241584274,0.0058818821551792,0.0195684887935288,-0.0169156661038842,0.032958488303424,0.0137324673287619,-0.0338530259100325,-0.0354701341658495,0.0111935954690276,-0.036307100387092
2vars_growth_market_volatility,2,0,0.6767212685510207,0.3003550340078408,0.0030349131946677,-0.0179098254232011,-0.3537439447924658,-0.0927911457158249,0.416693992704316,0.0792168054210587,0.0073128473787964,0.0128656558216982,-0.0292367769790733,0.0170684808930267,0.0144306125698754,-0.0186317525362207,-0.0221641821984018,0.0134553010752705,-0.0352776017864281
2vars_growth_market_volatility,2,1,0.3232787314489793,0.4171160427237577,0.008482496850566,-0.0366785826752836,-0.6017729515515081,-0.1115171022417985,0.6889415118591979,0.0869969876706997,0.007598798107905,0.0286865548057601,-0.0195788640140643,0.0503965063992312,0.0140383475623887,-0.0545880629661191,-0.0458072512642065,0.0103621990431875,-0.0395745002800796
2vars_growth_market_volatility,3,0,0.4317457813410278,0.3258463047184565,0.0067916024523812,-0.0171663376379017,-0.4009803031977313,-0.0900407987562747,0.4803157926543646,0.0654856093475017,-0.0014541862992847,0.0269877274484783,-0.0209688422803751,0.0212466361458974,0.0120215122076911,-0.0251760001827378,-0.0271594410109602,0.0133616909539718,-0.0351780998746775
2vars_growth_market_volatility,3,1,0.2146229351615622,0.366949977134081,0.0041321321385283,-0.023404963220544,-0.4723822490543265,-0.1004309551495447,0.5473679955601116,0.0785242289734141,0.0085332298830929,0.0181647038753838,-0.0242563381780504,0.0324446347717267,0.0132695939631817,-0.0397150893377311,-0.0243070777226668,0.0148700656512126,-0.036383731311194
2vars_growth_market_volatility,3,2,0.3536312834974098,0.36609196116718,0.0028800191302527,-0.0345782768546289,-0.4139700057401262,-0.1259113053723003,0.4928858401316315,0.0935403505392615,0.011662130590705,0.0140519833538301,-0.0158142501797888,0.0422678267153126,0.0159489485604338,-0.032052522947111,-0.0539842588647951,0.0081292232468884,-0.0394820882684772
2vars_growth_market_volatility,4,0,0.198628051147898,0.4069717592628279,0.0081150916442566,-0.0364743718824128,-0.5372082142090622,-0.124463348727027,0.6313292443937015,0.0887524470049355,0.0064273027473028,0.0287263370784047,-0.0127632099307361,0.0499422847770493,0.014792116377668,-0.0443445008515815,-0.0579263688144362,0.0083768635680375,-0.0394266445623225
2vars_growth_market_volatility,4,1,0.3274415959900227,0.3344452568635989,0.0055871669707218,-0.0178002732428059,-0.446767260986451,-0.0811425569218085,0.5156471533881866,0.0649672729845873,-0.0017212175220861,0.0256851023668198,-0.0226344316399715,0.0227054716120494,0.0121567364918406,-0.0260934649120266,-0.0248131827967302,0.0139820242878102,-0.035199458811856
2vars_growth_market_volatility,4,2,0.2965898653545601,0.3169842112580514,0.0023323704300951,-0.024354295363376,-0.307555011103184,-0.1160889314208714,0.3851796663930963,0.0876558045329636,0.01466872096944,0.0073779800489706,-0.0238121659860169,0.0295537835006171,0.0163265191390896,-0.0262908862578625,-0.0378804681402228,0.0108353038987511,-0.0376549565983856
2vars_growth_market_volatility,4,3,0.1773404875075189,0.3675396066233304,0.0041687900568981,-0.0236894051004608,-0.4752359883611124,-0.1006262930488466,0.5507429601578341,0.0777590639827864,0.0080663149835762,0.0187191504366442,-0.0234651240761763,0.0331224597010661,0.01329041961342,-0.0401410289384127,-0.0249978013995909,0.0146656899466495,-0.0364717406348285
2vars_growth_market_volatility,5,0,0.2081999592444696,0.3370569730440891,0.0087186037982913,-0.0239935186047903,-0.3087832162371361,-0.1122585520583189,0.4111851831111571,0.0744725413351787,0.0026953235426937,0.0295695028391887,-0.0193882727157167,0.0296035917686448,0.014290402098069,-0.0328082793994903,-0.0421507574514793,0.0108264714157412,-0.0377632568883638
2vars_growth_market_volatility,5,1,0.2239060555402506,0.3169345338196722,0.0003714919611003,-0.0268263747775917,-0.3532406614140105,-0.1043770176786344,0.418651018911688,0.0856483672626944,0.0118963027444465,0.0076342479062039,-0.0254215112404293,0.0300246568369112,0.0160150109462328,-0.0257848843768651,-0.0374226401539862,0.0108503215321947,-0.0371497821956711
2vars_growth_market_volatility,5,2,0.1687098280933085,0.4079044269172066,0.007733230540657,-0.0357602321740295,-0.5396041308655076,-0.1245664484971598,0.6324184820981701,0.0899303035696834,0.0079755761491146,0.0266659627565132,-0.0132326804306343,0.0501201652155544,0.014902316796473,-0.0448537790268206,-0.0565937448375918,0.0086487743835491,-0.0394548425037719
2vars_growth_market_volatility,5,3,0.1516344206116426,0.3666843164312979,0.0041754722835497,-0.0237648766157884,-0.4729783089934149,-0.1002824987700191,0.5478761319825751,0.0779016832240485,0.0081415357397514,0.0186311959240713,-0.023697314016474,0.0328937634944671,0.013302397174947,-0.0399725305018815,-0.0246429858491374,0.0147142127672914,-0.036458512468273
2vars_growth_market_volatility,5,4,0.2475497365103286,0.3350103786604547,0.0035060645902917,-0.0174135977687472,-0.5029547183131754,-0.0782037884095097,0.5638727799431623,0.0693112263594861,0.00035673177702,0.0213764196674412,-0.0249125548326418,0.0249072433811427,0.0116256808344024,-0.0280009738541354,-0.0232508283145325,0.0145467996444134,-0.0344119587098849
2vars_growth_market_volatility,6,0,0.1765752930100909,0.3210832121987184,-0.0008550850293683,-0.0212006132806592,-0.3595845451725976,-0.1222244210506844,0.4277434918578885,0.089540207026011,0.015850311191105,0.0016467620699648,-0.0159544714672375,0.0312472656460849,0.0156760276603997,-0.0258834670103701,-0.0316092185869761,0.0116928222617241,-0.0366631134005964
2vars_growth_market_volatility,6,1,0.1790327352738739,0.3414998055774428,0.008641067895138,-0.0243577100159976,-0.3240427186281737,-0.1061613679493654,0.4183394382764789,0.0704231218766277,0.00177595953141,0.0297081993361653,-0.0186266487319676,0.0293642859801777,0.0143809331341562,-0.0311210664560683,-0.0386273550632633,0.0112982854639142,-0.0378428897735962
2vars_growth_market_volatility,6,2,0.1427300442119748,0.4284434324108911,0.0070494869243524,-0.03135293506858,-0.4991847449872249,-0.1214100634724213,0.5970007303955294,0.0875129674574245,0.0083968375806652,0.0243418780833673,-0.0155544044454714,0.0490598297666129,0.0152991602595462,-0.0457859572199443,-0.0557711818769225,0.0088254010628597,-0.0400717082825929
2vars_growth_market_volatility,6,3,0.1320823484684224,0.3661727612930676,0.0040093369617833,-0.0237299421416376,-0.4727908057617794,-0.100116737393072,0.5462779873674319,0.0783112520447093,0.0088490475465154,0.0176572580274938,-0.0239573294145741,0.0326810789057103,0.0133497946602238,-0.0395601634256133,-0.0239486300062929,0.0148611646619675,-0.0363996430163048
2vars_growth_market_volatility,6,4,0.2092630129368567,0.335405124550568,0.0031719931051917,-0.0174058045925845,-0.5025508140623606,-0.0788054214768107,0.5638554795558302,0.0702835803149536,0.0013412888688485,0.0201875389907364,-0.025554484984388,0.0252860257748558,0.0117217700780366,-0.0281590845863376,-0.023947210083959,0.0145821751995682,-0.0342466799187234
2vars_growth_market_volatility,6,5,0.1603165660987809,0.3212666428348517,0.005812845770366,-0.0326682497525427,-0.4449799306375948,-0.0971203952713368,0.5207381168586941,0.0854746789420491,0.0054032632366439,0.023559692794974,-0.031057009776226,0.0321492800087688,0.013976460461843,-0.034601327890102,-0.0412177933663202,0.0110365652658885,-0.036870908903479
