date,regime,regime_name,growth_factor,monetary_policy_factor,erp,prob_R0,prob_R1,prob_R2,prob_R3
1990-01-01,2,High Growth / High Inflation,-0.5057798809853797,8.23,-0.0754196194721885,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-02-01,2,High Growth / High Inflation,0.9081631000016132,8.24,0.0024883501337749,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-03-01,2,High Growth / High Inflation,0.4981569957103637,8.28,0.0170981517372268,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-04-01,2,High Growth / High Inflation,-0.261981249171328,8.26,-0.0332878267589537,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-05-01,2,High Growth / High Inflation,0.304151938227859,8.18,0.084975668456295,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-06-01,2,High Growth / High Inflation,0.3391573440977957,8.29,-0.0155629965812373,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-07-01,2,High Growth / High Inflation,-0.1747344767991432,8.15,-0.0118060204894991,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-08-01,2,High Growth / High Inflation,0.3492835780922076,8.13,-0.101360449353467,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-09-01,2,High Growth / High Inflation,0.0076254021208255,8.2,-0.0569284184147121,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-10-01,2,High Growth / High Inflation,-0.5842518859517476,8.11,-0.0131785276954674,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-11-01,2,High Growth / High Inflation,-1.271560849731168,7.81,0.0541321692246543,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-12-01,2,High Growth / High Inflation,-0.7339529719835425,7.31,0.0192978082912949,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1991-01-01,2,High Growth / High Inflation,-0.3255879168894804,6.91,0.0361621017055271,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1991-02-01,2,High Growth / High Inflation,-0.7388505859934114,6.25,0.0626595376701035,0.17487770452710932,0.17487770452710993,0.47536688641867136,0.17487770452710932
1991-03-01,2,High Growth / High Inflation,-0.5754418806996231,6.12,0.0173556132523351,0.17487770452710916,0.17487770452711085,0.47536688641867086,0.17487770452710916
1991-04-01,2,High Growth / High Inflation,0.2638618636735756,5.91,-0.0047782652536851,0.17487770452711313,0.17487770452711915,0.4753668864186547,0.17487770452711313
1991-05-01,2,High Growth / High Inflation,0.9414187900247616,5.78,0.0336751821146612,0.17487770452711915,0.1748777045271447,0.47536688641861696,0.17487770452711915
1991-06-01,2,High Growth / High Inflation,0.8103066817548354,5.9,-0.0524668659686283,0.17487770452711288,0.17487770452712026,0.47536688641865404,0.17487770452711288
1991-07-01,2,High Growth / High Inflation,0.2800606256528226,5.82,0.0398266761004793,0.17487770452711168,0.17487770452712587,0.4753668864186508,0.17487770452711168
1991-08-01,2,High Growth / High Inflation,-0.0011339613319227,5.66,0.0148381835663307,0.1748777045271299,0.17487770452720214,0.47536688641853814,0.1748777045271299
1991-09-01,2,High Growth / High Inflation,0.7932959445843046,5.45,-0.02341704956175,0.17487770452724896,0.17487770452772103,0.47536688641778096,0.17487770452724896
1991-10-01,2,High Growth / High Inflation,-0.0546452478724535,5.21,0.0073336553243335,0.1748777045283364,0.17487770453242615,0.4753668864109011,0.1748777045283364
1991-11-01,2,High Growth / High Inflation,-0.1582362447837493,4.81,-0.0474453239344666,0.17487770456277413,0.17487770468146976,0.4753668861929819,0.17487770456277413
1991-12-01,2,High Growth / High Inflation,-0.4862523777080851,4.43,0.1080951685482503,0.17487770547509982,0.1748777086299223,0.47536688041987807,0.17487770547509982
1992-01-01,2,High Growth / High Inflation,-0.5237500242776694,4.03,-0.0231839668667169,0.17487772059699447,0.17487777407609267,0.47536678472991845,0.17487772059699447
1992-02-01,2,High Growth / High Inflation,0.7059692556002473,4.06,0.0066071306513311,0.17487771128598067,0.17487773377888563,0.47536684364915305,0.17487771128598067
1992-03-01,2,High Growth / High Inflation,0.8525660185312312,3.98,-0.0254511717010593,0.174877717084324,0.1748777588735875,0.47536680695776456,0.174877717084324
1992-04-01,2,High Growth / High Inflation,0.7590126747747616,3.73,0.0246886054123089,0.17487776190946755,0.1748779528729424,0.47536652330812246,0.17487776190946755
1992-05-01,2,High Growth / High Inflation,0.3291094964783747,3.82,-0.0019917574958177,0.174877734749232,0.17487783532572615,0.47536669517580976,0.174877734749232
1992-06-01,2,High Growth / High Inflation,0.0511853448275756,3.76,-0.0206334051403597,0.17487775872894587,0.17487793910789542,0.47536654343421275,0.17487775872894587
1992-07-01,2,High Growth / High Inflation,0.9207064715544,3.25,0.0365067334245561,0.1748788770382834,0.17488277918397171,0.47535946673946144,0.1748788770382834
1992-08-01,2,High Growth / High Inflation,-0.5591861589262614,3.3,-0.026666808324258,0.17487941620460673,0.17488511280137883,0.47535605478940773,0.17487941620460673
1992-09-01,2,High Growth / High Inflation,0.3298543432663114,3.22,0.0066288947493802,0.17487910435749449,0.1748837630589146,0.4753580282260963,0.17487910435749449
1992-10-01,2,High Growth / High Inflation,0.675158053367686,3.1,-0.0003406230145659,0.17488048375314266,0.17488973353235904,0.4753492989613557,0.17488048375314266
1992-11-01,2,High Growth / High Inflation,0.3792217126696195,3.09,0.0278419423883458,0.1748814928124999,0.1748941013112887,0.4753429130637115,0.1748814928124999
1992-12-01,2,High Growth / High Inflation,0.1688920989630027,2.92,0.0072304444227884,0.17488554424350009,0.17491164024847286,0.47531727126452705,0.17488554424350009
1993-01-01,2,High Growth / High Inflation,0.3839896069506743,3.02,0.0047279534581874,0.1748835519612415,0.17490301510354528,0.47532988097397166,0.1748835519612415
1993-02-01,2,High Growth / High Inflation,0.4815953484483826,3.03,0.0082248512527878,0.17488296984903048,0.1749004951278381,0.4753335651741009,0.17488296984903048
1993-03-01,2,High Growth / High Inflation,-0.0873531980976505,3.07,0.0159424665162164,0.17488351598453752,0.17490285935768426,0.47533010867324077,0.17488351598453752
1993-04-01,2,High Growth / High Inflation,0.2743160602107775,2.96,-0.0278616919898421,0.17488615902775922,0.17491430198150382,0.47531337996297773,0.17488615902775922
1993-05-01,2,High Growth / High Inflation,-0.3784401377208368,3.0,0.0203139295816374,0.17488788294980018,0.17492176617523497,0.4753024679251647,0.17488788294980018
1993-06-01,2,High Growth / High Inflation,0.2255186465793812,3.04,-0.0019936012770387,0.17488361537033364,0.1749032896068997,0.475329479652433,0.17488361537033364
1993-07-01,2,High Growth / High Inflation,0.2696746193213917,3.06,-0.0079227224437727,0.174882357960518,0.17489784632316716,0.4753374377557969,0.174882357960518
1993-08-01,2,High Growth / High Inflation,-0.120574086248093,3.03,0.0317304799632851,0.1748832901152707,0.17490188155855269,0.47533153821090596,0.1748832901152707
1993-09-01,2,High Growth / High Inflation,0.5305512966212289,3.09,-0.0124980579068898,0.17488179607497265,0.17489541404248218,0.47534099380757255,0.17488179607497265
1993-10-01,2,High Growth / High Inflation,0.733038914392603,2.99,0.0169361049823015,0.17488379673580734,0.17490407475794842,0.4753283317704368,0.17488379673580734
1993-11-01,2,High Growth / High Inflation,0.4569413629881946,3.02,-0.015437112279053,0.1748834373505997,0.1749025189463466,0.4753306063524541,0.1748834373505997
1993-12-01,2,High Growth / High Inflation,0.5922741331301662,2.96,0.0073570499895849,0.17488422842179555,0.17490594360049086,0.47532559955591813,0.17488422842179555
1994-01-01,2,High Growth / High Inflation,0.2877812441767657,3.05,0.0300817589187341,0.17488163819555852,0.17489473062812322,0.47534199298075963,0.17488163819555852
1994-02-01,2,High Growth / High Inflation,0.0582901651454692,3.25,-0.0325591573129598,0.17487903494877363,0.17488346264545934,0.47535846745699345,0.17487903494877363
1994-03-01,2,High Growth / High Inflation,1.0201575463503865,3.34,-0.0490289803222462,0.17487847934675538,0.1748810579344949,0.47536198337199437,0.17487847934675538
1994-04-01,2,High Growth / High Inflation,0.5913554477638527,3.56,0.0086763615113489,0.1748778634460772,0.17487839231612493,0.4753658807917207,0.1748778634460772
1994-05-01,2,High Growth / High Inflation,0.4601048425961096,4.01,0.0088347741896821,0.174877713441737,0.17487774310879012,0.47536683000773594,0.174877713441737
1994-06-01,2,High Growth / High Inflation,0.6751136558680537,4.25,-0.0305068982907092,0.17487770635023622,0.1748777124174267,0.47536687488210083,0.17487770635023622
1994-07-01,2,High Growth / High Inflation,0.1330389863973824,4.26,0.0279470066956182,0.1748777062472843,0.17487771197186042,0.47536687553357093,0.1748777062472843
1994-08-01,2,High Growth / High Inflation,0.6704230927067067,4.47,0.0333811322161841,0.17487770490467086,0.1748777061611562,0.4753668840295021,0.17487770490467086
1994-09-01,2,High Growth / High Inflation,0.3145485953005789,4.73,-0.0308445350853255,0.17487770457807822,0.17487770474769196,0.4753668860961517,0.17487770457807822
1994-10-01,2,High Growth / High Inflation,0.8045120691220431,4.76,0.0167767796876665,0.17487770457242977,0.17487770472324524,0.4753668861318952,0.17487770457242977
1994-11-01,2,High Growth / High Inflation,0.6835881660052667,5.29,-0.0438381026049962,0.17487770452765247,0.1748777045294652,0.4753668864152299,0.17487770452765247
1994-12-01,2,High Growth / High Inflation,1.0218279603479097,5.45,0.0074841734684498,0.17487770452727933,0.17487770452784807,0.4753668864175933,0.17487770452727933
1995-01-01,2,High Growth / High Inflation,0.1701982929575018,5.53,0.0195834930595473,0.1748777045271757,0.17487770452739124,0.4753668864182573,0.1748777045271757
1995-02-01,2,High Growth / High Inflation,-0.1128050577073547,5.92,0.0315864599670581,0.174877704527113,0.17487770452711976,0.4753668864186543,0.174877704527113
1995-03-01,2,High Growth / High Inflation,0.1661680221370254,5.98,0.0219208588186767,0.17487770452710888,0.17487770452711202,0.4753668864186702,0.17487770452710888
1995-04-01,2,High Growth / High Inflation,-0.1726234131196657,6.05,0.0235495199071824,0.1748777045271091,0.1748777045271111,0.47536688641867075,0.1748777045271091
1995-05-01,2,High Growth / High Inflation,0.4910926249013236,6.01,0.0311940925532538,0.17487770452710905,0.17487770452711124,0.4753668864186706,0.17487770452710905
1995-06-01,2,High Growth / High Inflation,0.3314331723927699,6.0,0.0163439898902195,0.17487770452710905,0.1748777045271115,0.4753668864186706,0.17487770452710905
1995-07-01,2,High Growth / High Inflation,-0.4181127385757377,5.85,0.0273277834470575,0.17487770452711562,0.17487770452713436,0.47536688641863445,0.17487770452711562
1995-08-01,2,High Growth / High Inflation,1.3256420444688333,5.74,-0.0054123724958117,0.17487770452712748,0.17487770452718637,0.47536688641855857,0.17487770452712748
1995-09-01,2,High Growth / High Inflation,0.4033288089442033,5.8,0.035775985216244,0.17487770452711596,0.1748777045271328,0.47536688641863534,0.17487770452711596
1995-10-01,2,High Growth / High Inflation,-0.1757561088312487,5.76,-0.009526100739381,0.17487770452711784,0.1748777045271508,0.47536688641861347,0.17487770452711784
1995-11-01,2,High Growth / High Inflation,0.2635472662998461,5.8,0.0364405152820546,0.17487770452711587,0.17487770452713305,0.47536688641863517,0.17487770452711587
1995-12-01,2,High Growth / High Inflation,0.347083386577518,5.6,0.0132338946234429,0.1748777045271424,0.17487770452725127,0.47536688641846403,0.1748777045271424
1996-01-01,2,High Growth / High Inflation,-0.5723636015089628,5.56,0.0283164957585351,0.1748777045272178,0.17487770452757098,0.4753668864179935,0.1748777045272178
1996-02-01,2,High Growth / High Inflation,1.4635221208469718,5.22,0.0029862821491688,0.17487770452944013,0.17487770453718937,0.47536688640393043,0.17487770452944013
1996-03-01,2,High Growth / High Inflation,-0.1224292570634499,5.31,0.0036599360737545,0.17487770452765838,0.17487770452949128,0.475366886415192,0.17487770452765838
1996-04-01,2,High Growth / High Inflation,0.995039749949056,5.22,0.0089803533930508,0.17487770452834614,0.17487770453246113,0.4753668864108465,0.17487770452834614
1996-05-01,2,High Growth / High Inflation,0.7473370902025378,5.24,0.0183445058447471,0.17487770452797202,0.17487770453084883,0.4753668864132072,0.17487770452797202
1996-06-01,2,High Growth / High Inflation,0.7622281048073498,5.27,-0.0019034874734333,0.17487770452778534,0.1748777045300273,0.4753668864144021,0.17487770452778534
1996-07-01,2,High Growth / High Inflation,0.0153757855237079,5.4,-0.0503836500201996,0.17487770452733298,0.17487770452808132,0.4753668864172527,0.17487770452733298
1996-08-01,2,High Growth / High Inflation,0.5118289203219328,5.22,0.0142740029225494,0.17487770452805332,0.17487770453119467,0.4753668864126986,0.17487770452805332
1996-09-01,2,High Growth / High Inflation,0.6259139173877992,5.3,0.0500383219038171,0.1748777045275955,0.17487770452922055,0.47536688641558844,0.1748777045275955
1996-10-01,2,High Growth / High Inflation,0.0296137890187786,5.24,0.0216188200358298,0.17487770452800597,0.17487770453098578,0.4753668864130023,0.17487770452800597
1996-11-01,2,High Growth / High Inflation,0.9186726470557404,5.31,0.0694713304541065,0.17487770452764084,0.17487770452941193,0.4753668864153064,0.17487770452764084
