model_label,state,n_obs,mean,std,min,max,median,skewness,kurtosis,p5,p25,p75,p95,p1,p99
Macro + Sentiment - PCA Distance,normal,385,0.005994759653944581,0.03938427503515288,-0.1500059183373461,0.1080951685482503,0.0087663987154404,-0.3822321498524678,0.512347022249914,-0.0628995082406241,-0.0182900483622554,0.03125896127553,0.06835062041117444,-0.0939930261026565,0.08962107540554576
Macro + Sentiment - PCA Distance,extreme,43,0.00032378509114890374,0.065452595386592,-0.1700235138744236,0.1267290173024282,0.0154198247895442,-0.6249873468057853,0.07654829774628258,-0.11122303694169684,-0.0386079961356738,0.03972763780295155,0.08470273548693262,-0.1512720987558295,0.11874017274582054
