model_label,version,model_name,normal_mean,extreme_mean,mean_difference,t_statistic,t_pvalue
Macro Only - Isolation Forest,Macro Only,Isolation Forest,0.006711524956010135,-0.006093764706414781,-0.012805289662424914,1.8726706100150037,0.06179859718099724
Macro Only - PCA Distance,Macro Only,PCA Distance,0.006702199629671908,-0.006010270505479482,-0.01271247013515139,1.8589859785823155,0.06371847446124072
Macro + Sentiment - Isolation Forest,Macro + Sentiment,Isolation Forest,0.006048957431070077,-0.00016147407613750794,-0.006210431507207585,0.9053800671417266,0.36577583478733333
Macro + Sentiment - PCA Distance,Macro + Sentiment,PCA Distance,0.005994759653944581,0.00032378509114890374,-0.005670974562795678,0.8266038548294994,0.40892436549778755
