rmse,mae,mean_error,std_error,n_forecasts,horizon,variable
0.1845143183049839,0.13450939427390102,-0.032013837370904207,0.18171584376807162,149,1,inflation
0.19860238264076854,0.14635367771348437,-0.033000795404694507,0.19584139984499635,147,3,inflation
0.21937527621484487,0.15847393265067752,-0.04343826133846413,0.2150316936319639,144,6,inflation
