regime,variable,horizon,coefficient,intercept,r_squared,t_statistic,p_value,se_coef,n_observations,regime_name
0,gdp,1,-0.01622821102712511,0.00089983281858117,0.1705522147560775,-2.682675715947283,0.011322844479405125,0.006049263028943753,35,Regime 0
0,gdp,3,-0.002549588635268974,-0.0005378360058939998,0.005462921239006602,-0.4384660803878436,0.6639056162356094,0.005814791039283459,35,Regime 0
0,gdp,6,0.0011944709009319816,0.007437336055981904,0.001474235146909808,0.2273200615296091,0.8215773424834236,0.005254577589388864,35,Regime 0
0,gdp,12,0.001134549435960473,0.0002110921429478911,0.0006003200899059591,0.14499594535958749,0.8855960539333829,0.007824697671005968,35,Regime 0
0,real_gdp,1,-0.01534723620411976,0.0008998328185811668,0.1525374299750708,-2.509932093465899,0.01715893650294964,0.0061146021615776725,35,Regime 0
0,real_gdp,3,-0.003292909668057787,-0.0005378360058940004,0.009112642744103061,-0.5673408443797808,0.5743222027126795,0.005804111762229297,35,Regime 0
0,real_gdp,6,0.00017031530366826074,0.007437336055981904,2.997249931924184e-05,0.03238933341998521,0.9743566809281612,0.005258376313578931,35,Regime 0
0,real_gdp,12,-0.0005397596287384296,0.00021109214294789106,0.0001358741454744461,-0.06896550834903988,0.945433282772183,0.007826515625849715,35,Regime 0
0,unemployment,1,-0.0015037363683768885,0.00856091829054548,0.0012474348798540147,-0.3706605197349134,0.7116164069374258,0.004056909998001193,110,Regime 0
0,unemployment,3,0.006092474099356765,0.0028920630046260025,0.022591780995456667,1.5945332651030224,0.1137390234172142,0.0038208510494531023,110,Regime 0
0,unemployment,6,0.0004714457660878885,0.011120828168915053,0.0001604832689721114,0.13287585588981876,0.8945388221782864,0.003548016777997753,110,Regime 0
0,unemployment,12,0.002754226876146327,0.004702470690459274,0.00442417645714388,0.6959728504008383,0.4879548050907583,0.00395737689273376,109,Regime 0
0,industrial_production,1,-0.0008531274628640014,0.008560918290545482,0.00040151550563538585,-0.21020096660148085,0.8339068740745699,0.004058627686909938,110,Regime 0
0,industrial_production,3,-0.004422878919645952,0.002892063004625991,0.01190620036513601,-1.1512876579949494,0.2521563503675659,0.003841680130010874,110,Regime 0
0,industrial_production,6,-0.0006073675633157202,0.011120828168915053,0.00026636028542526,-0.17119415216135528,0.8643914425742283,0.0035478289161609868,110,Regime 0
0,industrial_production,12,-0.0019873730660192918,0.004702470690459271,0.002303519091633288,-0.5016605348103956,0.6169369809727998,0.003961589417773169,109,Regime 0
0,retail_sales,1,-0.001709931979125634,0.00845534630504225,0.0016620687292966396,-0.4181001782900311,0.6767442690251309,0.004089766204164291,105,Regime 0
0,retail_sales,3,-0.0032280972744518394,0.002762957402434422,0.0061033304353690365,-0.8029850757160774,0.42383242615326244,0.004020121135592865,105,Regime 0
0,retail_sales,6,-0.004647884335956718,0.012190845891366289,0.01555838020866085,-1.2881957338460877,0.20056422316841838,0.0036080575442365517,105,Regime 0
0,retail_sales,12,0.00244781579751697,0.004213980664057697,0.0033634515577135593,0.5924351985057795,0.5548702823471006,0.004131786571241496,104,Regime 0
0,tot_business_inventories,1,-0.001300894962040798,0.00845534630504225,0.0009620015529433479,-0.31797394321286965,0.7511484746501278,0.004091199891715359,105,Regime 0
0,tot_business_inventories,3,-0.0023775286902984467,0.002762957402434422,0.0033107408685258966,-0.5905781233143768,0.5560967486051349,0.00402576491820514,105,Regime 0
0,tot_business_inventories,6,-0.003865653400103876,0.012190845891366289,0.010762163371374811,-1.0687941800039977,0.28766086955594994,0.003616836124696541,105,Regime 0
0,tot_business_inventories,12,0.002511477218838354,0.004213980664057698,0.003540676078284344,0.6078969724218377,0.5446069540787244,0.0041314191923554535,104,Regime 0
0,cpi,1,-0.0016089416600124943,0.008560918290545484,0.0014280883304099712,-0.39662876240692974,0.6924238655309578,0.00405654307632326,110,Regime 0
0,cpi,3,-0.002426445031468671,0.002892063004625995,0.0035834718794270914,-0.6289670313424588,0.5306987383969393,0.003857825467083226,110,Regime 0
0,cpi,6,-0.00247457807683641,0.011120828168915055,0.004421489566953318,-0.6989448157724308,0.4860889954025718,0.003540448431685781,110,Regime 0
0,cpi,12,0.0018628635303508945,0.004702470690459269,0.002023928181535628,0.4701654734133781,0.6391936939867899,0.003962144469747209,109,Regime 0
0,PCE_price_index,1,-0.0015204792395010428,0.00856091829054548,0.001275367852832776,-0.3747927617256109,0.7085495517416209,0.004056853266056934,110,Regime 0
0,PCE_price_index,3,-0.0022516029736514777,0.0028920630046259917,0.003085650355819425,-0.5834998860747543,0.560773420414399,0.003858789054438678,110,Regime 0
0,PCE_price_index,6,-0.002478177660580866,0.011120828168915051,0.00443436214323667,-0.69996604375307,0.48545354852481837,0.003540425543064062,110,Regime 0
0,PCE_price_index,12,0.001833305794151115,0.0047024706904592725,0.0019602110752969804,0.4626906681547932,0.6445256905588037,0.003962270951913347,109,Regime 0
0,PPI_inflation,1,-0.002519548323978933,0.008560918290545482,0.003502029992743183,-0.6217532499422869,0.5354144229748141,0.0040523283540742335,110,Regime 0
0,PPI_inflation,3,-0.001634417066685287,0.0028920630046259943,0.001625881402208429,-0.4232472229439874,0.6729565379643772,0.0038616132087453438,110,Regime 0
0,PPI_inflation,6,-0.0027730175102302825,0.011120828168915053,0.005552281879746768,-0.7836842487721338,0.43494072636158965,0.003538437214445754,110,Regime 0
0,PPI_inflation,12,0.0028329654252444796,0.004702470690459271,0.004680751283544504,0.7159617649427106,0.4755745607103594,0.003956866922175888,109,Regime 0
0,nat_fin_condition_indx,1,-0.0047317236145933955,0.008560918290545482,0.012351315476933689,-1.1728749344607803,0.24342637965936786,0.004034295111583032,110,Regime 0
0,nat_fin_condition_indx,3,-0.003951853224385177,0.0028920630046259934,0.009505275269847457,-1.0274308653491342,0.3065132508983526,0.0038463446618788185,110,Regime 0
0,nat_fin_condition_indx,6,0.006803471082211144,0.011120828168915053,0.033421610137650104,1.9502553879500375,0.05373740841705765,0.003488502646498233,110,Regime 0
0,nat_fin_condition_indx,12,-0.0021572572017237875,0.004702470690459271,0.0027141689107836875,-0.5446554583506222,0.587123854912639,0.003960774042835447,109,Regime 0
0,10y_2y_spread,1,-0.00492493443723596,0.008560918290545482,0.013380593687808418,-1.2214036328676783,0.22459275593555028,0.0040321923930035555,110,Regime 0
0,10y_2y_spread,3,0.002530904047980101,0.0028920630046259943,0.0038986517844581403,0.6561479890686046,0.5131244256549894,0.003857215277871526,110,Regime 0
0,10y_2y_spread,6,-0.0022567712341652227,0.011120828168915053,0.0036774041127061174,-0.6371871829143485,0.5253513601962125,0.0035417712325023034,110,Regime 0
0,10y_2y_spread,12,0.0010926268096843343,0.004702470690459271,0.0006962684584383982,0.27558327393403276,0.7833996598521815,0.003964779117711911,109,Regime 0
