variable,n_significant,avg_abs_tstat,avg_r_squared,avg_coefficient,best_regime,best_regime_tstat,best_horizon,best_horizon_tstat
fed_reserve_discount_rate,4,1.0869462000135286,0.02324462570054394,-0.0034164926320231484,Slowdown,1.5768392482857183,12,1.78525699367479
unemployment,1,1.0815110849856682,0.014423064046245729,0.003073450634699007,Stagflation,1.522649926379718,1,1.3736233889415386
fedfunds,3,1.0597734067790858,0.017911764825070127,-0.0023595726715361985,Slowdown,1.4973742391154057,12,1.766635797844156
10y_treasury_const_maturity_rate,2,0.9801350123366259,0.013910236567458108,-0.002592288245420526,Slowdown,1.7345255244637512,12,1.3252627439627447
m2_real_money_supply,2,0.9780415343477366,0.013395148212489112,0.0025649184928620357,Slowdown,1.9903541082523357,1,1.278867294610076
industrial_production,2,0.9154865881972194,0.011667497867152161,-0.0005437305864901131,Stagflation,1.4533802458036373,12,1.1048058838269754
10y_2y_spread,1,0.884083944370595,0.013513768836802623,-7.565063623152268e-05,Stagflation,1.0915388667878982,1,1.4408826300322728
PPI_inflation,1,0.8840438726976039,0.011301807052093951,0.0017899370640331739,Slowdown,1.5901425765958839,3,1.1770162003837383
PCE_price_index,2,0.8742163031190799,0.011607011618207028,0.0023569036109473704,Slowdown,1.7733973274307446,1,1.0994547090905262
cpi,2,0.8547345310170049,0.011030727670918117,0.0022583386762139567,Slowdown,1.7264590976488732,1,1.052883336788828
nat_fin_condition_indx,0,0.8206102808525824,0.008951053159082331,-0.00043428626989524535,Stagflation,1.4144101790150625,12,0.9028344721275796
tot_business_inventories,1,0.8198764468595273,0.009602066463999172,0.0019417774401682786,Slowdown,1.5158006383896507,1,1.049031672158002
retail_sales,1,0.7832478406586281,0.008449174396783346,0.001706785554559911,Slowdown,1.315740213772373,1,1.10480488615992
gdp,0,0.6469197886100302,0.015599339698887146,0.0032778504610554604,Slowdown,1.1206281991365925,6,0.7908649695136761
real_gdp,0,0.5596041118133449,0.012508624609090906,0.0026640491336896127,Slowdown,0.9394344563296166,6,0.6305869764179131
