horizon,coefficient_mean,coefficient_std,t_statistic_mean,t_statistic_std,p_value_mean,r_squared_mean,r_squared_std,n_observations_mean
1,0.0006,0.0049,0.172,1.1428,0.3613,0.0145,0.0146,93.6167
3,0.0007,0.0047,0.1744,1.0492,0.5077,0.011,0.0144,93.3333
6,0.001,0.004,0.1989,0.8795,0.5391,0.0093,0.0136,92.7333
12,0.0009,0.0055,0.2164,1.3441,0.504,0.0177,0.0256,91.4667
