variable,0,1,2,3
10y_2y_spread,-0.0051,0.0002,0.0101**,0.0008
10y_treasury_const_maturity_rate,0.0040,0.0005,-0.0073,-0.0088**
PCE_price_index,0.0004,-0.0006,0.0014,0.0093**
PPI_inflation,0.0001,0.0001,0.0016,0.0103***
cpi,0.0005,-0.0006,0.0014,0.0093**
fed_reserve_discount_rate,0.0051,0.0015,-0.0158***,-0.0076**
fedfunds,0.0054,0.0008,-0.0143***,-0.0073*
gdp,0.0079,0.0012,-0.0016,0.0067
industrial_production,-0.0023,-0.0027,-0.0054,0.0076**
m2_real_money_supply,0.0006,-0.0026,0.0031,0.0085**
nat_fin_condition_indx,0.0026,0.0002,-0.0078*,0.0040
real_gdp,0.0062,-0.0001,-0.0017,0.0068
retail_sales,0.0013,-0.0019,0.0007,0.0078**
tot_business_inventories,0.0012,-0.0008,0.0008,0.0082**
unemployment,-0.0015,0.0029,0.0070,0.0003
