keyword,frequency
federal,40076
interest,24394
rates,23819
economy,20814
economic,18269
inflation,18037
washington,17793
bank,16793
york,15834
dollar,15066
treasury,13285
markets,12877
central,12728
rate,12727
update,11781
wednesday,10238
market,10114
thursday,9764
not,9704
data,9680
