percentile,normal_n,extreme_n,normal_mean,extreme_mean,mean_diff,normal_std,extreme_std,normal_p5,extreme_p5,normal_p95,extreme_p95
99,426,5,0.006084482411692466,-0.04717350273900002,-0.05325798515069249,0.04079414064751791,0.1051140797451292,-0.06809826183897096,-0.16109426857985498,0.06937914850353415,0.10294157450983105
95,409,17,0.006275578883225594,0.0014869261259836633,-0.004788652757241931,0.03903627236928455,0.0708403346424308,-0.0628568433998985,-0.10311913296173218,0.0668997729786525,0.08971439119798175
90,387,22,0.006830395370229286,-0.0034841475017938772,-0.010314542872023163,0.03779403344021038,0.055696210797807344,-0.06238896891048692,-0.087450019258763,0.06556520162359833,0.0841820151660711
80,344,43,0.006142244470588333,0.0123356025673569,0.0061933580967685675,0.03660538477440841,0.04584508040879657,-0.06179459990771721,-0.06300400937098684,0.05864254640889488,0.08454643188523465
