horizon,coefficient_mean,coefficient_std,t_statistic_mean,t_statistic_std,p_value_mean,r_squared_mean,r_squared_std,n_observations_mean
1,0.0002,0.0029,0.158,1.3279,0.3631,-0.009,0.0152,358.6167
3,0.0007,0.0029,0.2308,1.2889,0.4067,-0.0045,0.0061,357.4833
6,0.0005,0.0028,0.1427,1.1752,0.4966,-0.0021,0.0069,355.0833
12,0.0008,0.0032,0.2629,1.3137,0.4146,-0.0015,0.0029,350.65
