variable,0,1,2,3
10y_2y_spread,-0.004648314612231908,0.004167106773623199,0.0019393478990828044,-0.0025930558670647936
10y_treasury_const_maturity_rate,-0.0027897877172143723,-0.0026039161568530457,-0.0002858795518947476,-0.0035319805073253433
PCE_price_index,0.0031276620767048797,0.0009422757850976008,-0.0004974452536731388,0.0035650153464281027
PPI_inflation,0.0024103212774672835,0.000597670355725067,-0.0011729017699396171,0.001954818868122749
cpi,0.0029855381185287955,0.0006523256765580766,-0.0006535913139261903,0.003282087692503965
fed_reserve_discount_rate,0.001684589270280594,-0.004783305548524228,-0.002467582681265194,-0.0026608334342485057
fedfunds,0.0022864249549115244,-0.003020184092822821,-0.0010449094584513551,-0.0011964694493947253
gdp,0.001817254880400649,-0.0038059397552936912,-0.005164895412430792,0.0006827676799141023
industrial_production,0.002407122944735215,0.0008063246172245271,-0.0040341438879852535,-0.0015670911326832544
m2_real_money_supply,0.0037795537474751405,0.0005597222506567358,-0.0004297928533053486,0.005077338779167854
nat_fin_condition_indx,0.003268815219178527,0.0012822361232184692,-0.001168114292992182,-0.003529627671322536
real_gdp,0.0019095808865997974,-0.002408702441314698,-0.005160687313605879,-0.00039941257097065344
retail_sales,0.004101540293042739,0.00023375878193374094,-0.0011809547233165827,0.0033706174398683984
tot_business_inventories,0.004197214918510011,-4.9038766262591167e-05,-0.0009400694556732515,0.0032724250288255438
unemployment,-0.0030150266118412028,0.00391784686367938,0.0053699921943128484,0.004404069238000601
