variable,0,1,2,3
10y_2y_spread,0.43412241971585086,0.5463019797698268,0.0138673701500307,0.6782366691098218
10y_treasury_const_maturity_rate,0.9937952614388028,0.5645158142041895,0.07586014656391238,0.1490488366000624
PCE_price_index,0.3501936528973868,0.7474954762111277,0.3528607926016245,0.07571901320435281
PPI_inflation,0.4396630240594983,0.9131200009805445,0.23217318224447814,0.06275836002894652
cpi,0.3538721109221954,0.7355528697222864,0.36031873093020095,0.07508721335756019
fed_reserve_discount_rate,0.8947925700153547,0.9681547286673045,0.00010835852497814713,0.058738072470142066
fedfunds,0.7824254444713419,0.8069187953305119,0.000451944503465862,0.1422856687519678
gdp,0.0120692953583168,0.8230318981729172,0.6065966753713026,0.0691792233532047
industrial_production,0.6657659599704087,0.19060254348048433,0.19420172838506922,0.611339614344121
m2_real_money_supply,0.26519479592583517,0.4110663601567237,0.23661144839826287,0.109032100521951
nat_fin_condition_indx,0.8670586422530393,0.17305948724815456,0.3494473951067798,0.5556886957134473
real_gdp,0.050166569198692335,0.9965872007311412,0.814704279733121,0.09238338491818143
retail_sales,0.3144839568460356,0.5141710029048772,0.5235908240642515,0.1582448449017151
tot_business_inventories,0.30284097570137747,0.7207063838471937,0.4414865083811592,0.09966761841949667
unemployment,0.9438020693614209,0.2532180721156514,0.044270127771602,0.6551327153970945
