regime,rank,variable,avg_abs_tstat,avg_coefficient,avg_p_value
Goldilocks,1,gdp,1.3599640305540541,0.00484650483308088,0.28123422985549407
Goldilocks,2,m2_real_money_supply,1.191393706460214,0.002454609319064221,0.2888134388240703
Goldilocks,3,nat_fin_condition_indx,1.1835679966611805,-0.00015648340896835336,0.40318842259904253
Overheating,1,10y_2y_spread,1.2105853858306492,0.0002706001731842177,0.29206912589458045
Overheating,2,unemployment,1.0512765015544063,0.0021335894737293947,0.3789286728878854
Overheating,3,nat_fin_condition_indx,0.9761688994432167,-0.0013923495270819243,0.3878679419019918
Stagflation,1,nat_fin_condition_indx,2.185025733618953,-0.004605031078150093,0.23036512716662016
Stagflation,2,unemployment,1.9854372172921968,0.004127185616226842,0.1073094141961225
Stagflation,3,industrial_production,1.8403791120646504,-0.003839651426232362,0.09876035468758249
Slowdown,1,fed_reserve_discount_rate,2.0627012449797006,-0.004514372317272393,0.07609088503529104
Slowdown,2,m2_real_money_supply,1.9892716095562992,0.004143836204977765,0.06608613482017406
Slowdown,3,unemployment,1.7658049896428103,0.0036640153672700417,0.19585453172044504
