horizon,variable,coefficient,std_error,t_stat,p_value,abs_t_stat,significant_5pct,significant_1pct
1,inflation_factor,-0.0018203787257976664,0.002134419541485719,-0.8528682812426576,0.3942161474760315,0.8528682812426576,0,0
1,growth_factor,0.0033574370798293536,0.00215413775576524,1.5585990593422618,0.1198409050624134,1.5585990593422618,0,0
1,monetary_policy_factor,-0.0005815395226286592,0.002079962397625116,-0.2795913634268851,0.7799280172228995,0.2795913634268851,0,0
1,market_volatility_factor,0.003103129463123513,0.002172637797956144,1.4282773990412512,0.153951698647258,1.4282773990412512,0,0
1,intercept,0.005614343899672728,,,,,0,0
3,inflation_factor,-0.001875973224228828,0.002149716312310612,-0.8726608313319478,0.3833465919415673,0.8726608313319478,0,0
3,growth_factor,-0.0012305387838693516,0.0021698204459060493,-0.5671154892982478,0.5709386896481488,0.5671154892982478,0,0
3,monetary_policy_factor,-0.0007433302036400163,0.002094843900723901,-0.35483799216884304,0.7228890710792175,0.35483799216884304,0,0
3,market_volatility_factor,0.0012144862962818683,0.002188470782686557,0.5549474573249592,0.5792260175199577,0.5549474573249592,0,0
3,intercept,0.005594678454798241,,,,,0,0
6,inflation_factor,-0.00470780492150775,0.0021442290602784915,-2.19556996438445,0.02867300228140457,2.19556996438445,1,0
6,growth_factor,-3.368591859715001e-05,0.0021641727210875315,-0.01556526346946204,0.9875886623361274,0.01556526346946204,0,0
6,monetary_policy_factor,-0.0016242780875457656,0.002090364918979883,-0.7770308776222804,0.43758111154853196,0.7770308776222804,0,0
6,market_volatility_factor,-0.0018666999921219938,0.002183042815664403,-0.855090875326634,0.3929918540423851,0.855090875326634,0,0
6,intercept,0.0055488471520690735,,,,,0,0
12,inflation_factor,-0.0015161713530944714,0.0021564001131815446,-0.7031029834521377,0.4823896452047576,0.7031029834521377,0,0
12,growth_factor,0.0012131391259100563,0.0021777540116591654,0.5570597594655798,0.5777898207918313,0.5570597594655798,0,0
12,monetary_policy_factor,-0.002231667659875095,0.002102578461520829,-1.0613956628571635,0.28913341656298597,1.0613956628571635,0,0
12,market_volatility_factor,0.0010720072769350583,0.0021961362810862307,0.48813331220266204,0.6257157268236346,0.48813331220266204,0,0
12,intercept,0.005892925328390253,,,,,0,0
24,inflation_factor,0.0024773783552762096,0.0021813066677948702,1.1357313448184911,0.25675074583495894,1.1357313448184911,0,0
24,growth_factor,0.000960150287936834,0.0022087601639056266,0.4347010162656384,0.6640144639794101,0.4347010162656384,0,0
24,monetary_policy_factor,-0.0035087160537022664,0.00212169868691035,-1.6537296626278786,0.09896893400836304,1.6537296626278786,0,0
24,market_volatility_factor,0.0011387131277860356,0.0022191470957283765,0.5131309817082148,0.6081436866514225,0.5131309817082148,0,0
24,intercept,0.0055931146610070665,,,,,0,0
