K,AIC,BIC,log_likelihood,n_params,n_samples,combination,variables,n_variables,best_AIC,best_BIC
5,757.1086854683639,935.710106073963,-334.55434273418194,44,428,2vars_inflation_monetary_policy,"inflation_factor, monetary_policy_factor",2,False,True
6,834.4951231426456,1073.9833916819716,-358.2475615713228,59,428,2vars_inflation_monetary_policy,"inflation_factor, monetary_policy_factor",2,False,False
7,711.2204247526904,1019.713787616907,-279.6102123763452,76,428,2vars_inflation_monetary_policy,"inflation_factor, monetary_policy_factor",2,False,False
8,641.8266086324346,1027.4433122127052,-225.9133043162173,95,428,2vars_inflation_monetary_policy,"inflation_factor, monetary_policy_factor",2,False,False
9,600.1825555410293,1071.0408462285177,-184.09127777051464,116,428,2vars_inflation_monetary_policy,"inflation_factor, monetary_policy_factor",2,False,False
10,554.5608011206065,1118.7789253064761,-138.28040056030324,139,428,2vars_inflation_monetary_policy,"inflation_factor, monetary_policy_factor",2,True,False
2,2000.2501207503842,2044.900475901784,-989.1250603751921,11,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,False
3,1829.428069231999,1910.610533143635,-894.7140346159995,20,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,False
4,1747.5245856555355,1873.3574047185712,-842.7622928277677,31,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,True
5,1715.372791526009,1893.974212131608,-813.6863957630045,44,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,False
6,1694.8494152800238,1934.3376838193499,-788.4247076400119,59,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,False
7,1667.5427354407216,1976.0360983049382,-757.7713677203608,76,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,False
8,1660.4260235450151,2046.0427271252859,-735.2130117725076,95,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,True,False
9,1685.9534014367412,2156.8116921242295,-726.9767007183706,116,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,False
10,1701.126440860391,2265.344565046261,-711.5632204301955,139,428,2vars_inflation_market_volatility,"inflation_factor, market_volatility_factor",2,False,False
2,1674.7709888013892,1719.421343952789,-826.3854944006946,11,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
3,1033.225768902933,1114.4082328145687,-496.6128844514664,20,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
4,804.9171464029279,930.7499654659636,-371.45857320146393,31,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
5,638.3632808981293,816.9647015037284,-275.1816404490647,44,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
6,607.9378212284239,847.42608976775,-244.96891061421198,59,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
7,648.0443340416704,956.5376969058868,-248.02216702083518,76,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
8,345.7011523246981,731.3178559049688,-77.85057616234906,95,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,True,True
9,405.10760083240564,875.9658915198941,-86.55380041620282,116,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
10,399.2727879595967,963.4909121454664,-60.636393979798356,139,428,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",2,False,False
