criterion,combination,variables,K,AIC,BIC,log_likelihood
AIC,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",8,345.7011523246981,731.3178559049688,-77.85057616234906
BIC,2vars_market_volatility_monetary_policy,"monetary_policy_factor, market_volatility_factor",8,345.7011523246981,731.3178559049688,-77.85057616234906
