variable,0,1,2,3
10y_2y_spread,0.0004650449001307959,-0.002122320670647512,-0.0004005199763104748,-0.0013908992620080389
10y_treasury_const_maturity_rate,-0.002176767579691127,-0.0007249805609749453,0.0015010292097977673,-0.004861606102079446
PCE_price_index,0.002681539411631159,0.0004621441344679864,-0.0017127502677702585,0.004204664019207107
PPI_inflation,0.0032953532633138616,-0.00026860888014577455,-0.002808110666550358,0.0030032602801774635
cpi,0.0026318727607496464,0.0004570568214233571,-0.0018343544538560956,0.004080970169980629
fed_reserve_discount_rate,-0.0028297532528201107,-0.0015786968030157818,0.0003412166748882747,-0.005696406348588794
fedfunds,-0.002099438917555098,0.0011861308481808477,0.0012887643823391109,-0.004069444827337292
gdp,0.0032047906104643482,0.003974159214434094,0.0028820744576043013,0.007637302361615745
industrial_production,0.0009561298467121246,0.00021617569084853003,-0.00545796606044248,8.255908688634491e-05
m2_real_money_supply,0.002492111767350119,0.0005992295801613056,-0.0010834846144495939,0.004901091534842898
nat_fin_condition_indx,0.0009621407286200236,-0.0006563304723287894,-0.006977362070277778,0.0008074205191723468
real_gdp,0.002223075351776547,0.0035397146631753647,0.0016990859163331755,0.0064255191179952995
retail_sales,0.0018165115783568947,0.00029116242829994193,-0.0013537254875097492,0.003058898832621158
tot_business_inventories,0.0020370906644215383,0.0003262972483358906,-0.0013061973129073782,0.0037412043017123683
unemployment,0.0022105298256262845,0.0014383279134982485,0.004935765233052048,0.0035402068848213973
