n_regimes,AIC,BIC,log_likelihood,n_params,n_samples,AIC_rank,BIC_rank,best_by_AIC,best_by_BIC
2,1474.2260018089312,1518.9531908000724,-726.1130009044656,11,431,3.0,3.0,False,False
3,904.2238914020286,985.5460532041035,-432.1119457010143,20,431,2.0,2.0,False,False
4,629.3218624096337,755.3712132028498,-283.66093120481685,31,431,1.0,1.0,True,True
