date,regime,regime_name,growth_factor,monetary_policy_factor,erp,prob_R0,prob_R1,prob_R2,prob_R3
1990-01-01,2,High Growth / High Inflation,1.0928820446238552,8.23,-0.0754196194721885,0.17487770452710943,0.17487770452710943,0.4753668864186717,0.17487770452710943
1990-02-01,2,High Growth / High Inflation,0.8495780398208419,8.24,0.0024883501337749,0.17487770452714316,0.17487770452714316,0.4753668864184661,0.17487770452724768
1990-03-01,2,High Growth / High Inflation,0.6062740350178286,8.28,0.0170981517372268,0.17487770452713614,0.17487770452713614,0.4753668864185011,0.17487770452722662
1990-04-01,2,High Growth / High Inflation,0.3629700302148153,8.26,-0.0332878267589537,0.17487770452713416,0.17487770452713416,0.47536688641852276,0.17487770452720897
1990-05-01,2,High Growth / High Inflation,0.2641739132525448,8.18,0.084975668456295,0.17487770452713633,0.17487770452713633,0.4753668864185016,0.17487770452722576
1990-06-01,2,High Growth / High Inflation,0.1653777962902743,8.29,-0.0155629965812373,0.1748777045271214,0.1748777045271214,0.4753668864185961,0.17487770452716112
1990-07-01,2,High Growth / High Inflation,0.0665816793280038,8.15,-0.0118060204894991,0.17487770452712784,0.17487770452712784,0.47536688641855956,0.17487770452718482
1990-08-01,2,High Growth / High Inflation,-0.2590803994373281,8.13,-0.101360449353467,0.17487770452711165,0.17487770452711165,0.4753668864186507,0.17487770452712603
1990-09-01,2,High Growth / High Inflation,-0.58474247820266,8.2,-0.0569284184147121,0.1748777045271092,0.1748777045271092,0.4753668864186711,0.1748777045271105
1990-10-01,2,High Growth / High Inflation,-0.910404556967992,8.11,-0.0131785276954674,0.1748777045271094,0.1748777045271094,0.4753668864186716,0.17487770452710955
1990-11-01,2,High Growth / High Inflation,-0.7629165863478653,7.81,0.0541321692246543,0.17487770452710907,0.17487770452710907,0.4753668864186707,0.17487770452711116
1990-12-01,2,High Growth / High Inflation,-0.6154286157277385,7.31,0.0192978082912949,0.1748777045271299,0.1748777045271299,0.47536688641853814,0.17487770452720225
1991-01-01,2,High Growth / High Inflation,-0.4679406451076118,6.91,0.0361621017055271,0.17487770452750642,0.17487770452750642,0.47536688641615693,0.17487770452883017
1991-02-01,2,High Growth / High Inflation,-0.0520640777847377,6.25,0.0626595376701035,0.17487770460386468,0.17487770460386468,0.47536688593297016,0.17487770485930038
1991-03-01,2,High Growth / High Inflation,0.3638124895381364,6.12,0.0173556132523351,0.1748777050185884,0.1748777050185884,0.47536688330864396,0.17487770665417932
1991-04-01,2,High Growth / High Inflation,0.7796890568610104,5.91,-0.0047782652536851,0.17487770616977466,0.17487770616977466,0.47536687602403116,0.17487771163641944
1991-05-01,2,High Growth / High Inflation,0.6882456000793699,5.78,0.0336751821146612,0.17487770748493398,0.17487770748493398,0.47536686770182657,0.17487771732830543
1991-06-01,2,High Growth / High Inflation,0.5968021432977292,5.9,-0.0524668659686283,0.174877706238777,0.174877706238777,0.47536687558740276,0.17487771193504342
1991-07-01,2,High Growth / High Inflation,0.5053586865160886,5.82,0.0398266761004793,0.17487770677990536,0.17487770677990536,0.47536687216318524,0.1748777142770041
1991-08-01,2,High Growth / High Inflation,0.4530874058835898,5.66,0.0148381835663307,0.1748777087503538,0.1748777087503538,0.4753668596943781,0.17487772280491423
1991-09-01,2,High Growth / High Inflation,0.400816125251091,5.45,-0.02341704956175,0.17487771411736686,0.17487771411736686,0.4753668257324095,0.17487774603285683
1991-10-01,2,High Growth / High Inflation,0.3485448446185923,5.21,0.0073336553243335,0.17487772875459245,0.17487772875459245,0.4753667331093544,0.1748778093814606
