Model_Metrics,Values
AIC,629.3218624096337
BIC,755.3712132028498
Log-Likelihood,-283.66093120481685
N_Parameters,31
N_Samples,431
ANOVA_F_Statistic,5.496456348335298
ANOVA_P_Value,0.0010328504811754043
ANOVA_Significant,True
