date,sp500_value,yield_3m_value,stock_return,risk_free_return,ERP
1990-01-31,329.08,8.0,-0.0688172043010753,0.006602415171113263,-0.07541961947218856
1990-02-28,331.89,8.04,0.008538957092500299,0.006050606958725391,0.002488350133774908
1990-03-31,339.94,8.07,0.02425502425502435,0.007156872517797508,0.01709815173722684
1990-04-30,330.8,8.07,-0.026887097723127584,0.006400729035826114,-0.0332878267589537
1990-05-31,361.23,8.01,0.09198911729141468,0.007013448835119673,0.084975668456295
1990-06-30,358.02,8.0,-0.008886305124159222,0.0066766914570781655,-0.015562996581237387
1990-07-31,356.15,7.74,-0.005223171889838563,0.006582848599660629,-0.011806020489499192
1990-08-31,322.56,7.63,-0.09431419345781268,0.00704625589565433,-0.10136044935346701
1990-09-30,306.05,7.37,-0.051184275793650806,0.005744142621061377,-0.05692841841471218
1990-10-31,304.0,7.34,-0.006698251919621034,0.0064802757758464224,-0.013178527695467457
1990-11-30,322.22,7.24,0.05993421052631587,0.005802041301661509,0.05413216922465436
1990-12-31,330.22,6.63,0.02482775743280996,0.005529949141515056,0.019297808291294904
1991-01-31,343.93,6.37,0.04151777602810247,0.005355674322575332,0.03616210170552714
1991-02-28,367.07,6.22,0.06728113278864889,0.004621595118545319,0.06265953767010357
1991-03-31,375.22,5.92,0.022202849592720897,0.004847236340385752,0.017355613252335145
1991-04-30,375.34,5.68,0.000319812376738948,0.005098077630424136,-0.004778265253685188
1991-05-31,389.83,5.71,0.03860499813502427,0.00492981602036302,0.03367518211466125
1991-06-30,371.16,5.71,-0.04789267116435358,0.004574194804274789,-0.052466865968628366
1991-07-31,387.81,5.7,0.04485935984481082,0.005032683744331523,0.0398266761004793
1991-08-31,395.43,5.49,0.01964879709135925,0.00481061352502854,0.01483818356633071
1991-09-30,387.86,5.26,-0.01914371696634043,0.004273332595409629,-0.02341704956175006
1991-10-31,392.45,4.96,0.011834166967462425,0.004500511643128924,0.007333655324333501
1991-11-30,375.22,4.47,-0.04390368199770666,0.003541641936759987,-0.04744532393446665
1991-12-31,417.09,3.96,0.11158786845050894,0.0034926999022586447,0.1080951685482503
1992-01-31,408.78,3.94,-0.019923757462418142,0.0032602094042988305,-0.023183966866716973
1992-02-29,412.7,4.03,0.009589510250012312,0.002982379598681195,0.006607130651331117
1992-03-31,403.69,4.15,-0.021831839108311102,0.00361933259274827,-0.025451171701059372
1992-04-30,414.95,3.79,0.027892689935346437,0.0032040845230374426,0.024688605412308995
1992-05-31,415.35,3.79,0.000963971562838894,0.0029557290586565976,-0.0019917574958177036
1992-06-30,408.14,3.65,-0.017358853978572394,0.00327455116178732,-0.020633405140359714
1992-07-31,424.21,3.25,0.03937374430342522,0.002867010878869092,0.036506733424556126
1992-08-31,414.03,3.23,-0.0239975483840551,0.0026692599402029504,-0.02666680832425805
1992-09-30,417.8,2.75,0.009105620365674085,0.0024767256162938622,0.0066288947493802226
1992-10-31,418.68,3.03,0.002106270943034838,0.002446893957600782,-0.0003406230145659439
1992-11-30,431.35,3.38,0.03026177510270367,0.0024198327143578613,0.02784194238834581
1992-12-31,435.71,3.15,0.010107801089602296,0.0028773566668138795,0.007230444422788416
1993-01-31,438.78,2.96,0.007045970943976521,0.002318017485789081,0.004727953458187439
1993-02-28,443.38,3.01,0.010483613656046442,0.0022587624032586184,0.008224851252787824
1993-03-31,451.67,2.95,0.018697279985565585,0.0027548134693491377,0.015942466516216447
1993-04-30,440.19,2.97,-0.02541678659198088,0.002444905397861241,-0.027861691989842122
1993-05-31,450.19,3.13,0.02271746291374188,0.0024035333321044128,0.02031392958163747
1993-06-30,450.53,3.1,0.0007552366778471591,0.0027488379548858966,-0.0019936012770387377
1993-07-31,448.13,3.1,-0.005327059241337917,0.0025956632024348725,-0.00792272244377279
1993-08-31,463.56,3.08,0.03443197286501687,0.002701492901731717,0.03173047996328515
1993-09-30,458.93,2.98,-0.009987919578910986,0.0025101383279788614,-0.012498057906889848
1993-10-31,467.83,3.1,0.019392935741834316,0.0024568307595327354,0.01693610498230158
1993-11-30,461.79,3.21,-0.012910672680247036,0.0025264395988060517,-0.015437112279053087
1993-12-31,466.45,3.07,0.010091166980662036,0.0027341169910770624,0.007357049989584974
1994-01-31,481.61,3.05,0.03250080394468857,0.0024190450259544694,0.030081758918734103
1994-02-28,467.14,3.47,-0.030045057203961778,0.0025141001089981074,-0.032559157312959885
1994-03-31,445.77,3.56,-0.04574645716487568,0.0032825231573705427,-0.04902898032224622
1994-04-30,450.91,3.97,0.011530609955807014,0.0028542484444580296,0.008676361511348984
1994-05-31,456.5,4.31,0.01239715242509587,0.0035623782354137212,0.008834774189682149
1994-06-30,444.27,4.26,-0.026790799561883905,0.00371609872882539,-0.030506898290709294
1994-07-31,458.26,4.39,0.03148985976995977,0.0035428530743415454,0.027947006695618226
1994-08-31,475.49,4.68,0.0375987430716187,0.004217610855434595,0.033381132216184106
1994-09-30,462.71,4.8,-0.026877536856716344,0.003966998228609242,-0.030844535085325586
1994-10-31,472.35,5.2,0.020833783579347953,0.004057003891681399,0.016776779687666554
1994-11-30,453.69,5.72,-0.03950460463639261,0.004333497968603606,-0.04383810260499622
1994-12-31,459.27,5.68,0.01229914699464385,0.0048149735261939774,0.007484173468449873
1995-01-31,470.42,6.0,0.024277658022514137,0.004694164962966818,0.01958349305954732
1995-02-28,487.39,5.94,0.03607414650737639,0.004487686540318281,0.03158645996705811
1995-03-31,500.71,5.88,0.027329243521615032,0.0054083847029382515,0.02192085881867678
1995-04-30,514.71,5.87,0.027960296379141658,0.004410776471959199,0.02354951990718246
1995-05-31,533.4,5.81,0.0363117095063239,0.005117616953070003,0.031194092553253894
1995-06-30,544.75,5.6,0.02127859017622802,0.00493460028600845,0.016343989890219568
1995-07-31,562.06,5.6,0.031776044056906816,0.004448260609849264,0.027327783447057552
1995-08-31,561.88,5.45,-0.000320250507063191,0.0050921219887485325,-0.005412372495811724
1995-09-30,584.41,5.4,0.040097529721648595,0.004321544505404562,0.03577598521624403
1995-10-31,581.5,5.48,-0.00497938091408423,0.004546719825296863,-0.009526100739381094
1995-11-30,605.37,5.48,0.04104901117798798,0.004608495895933373,0.03644051528205461
1995-12-31,615.93,5.1,0.017443877298181087,0.004209982674738155,0.013233894623442932
1996-01-31,636.02,5.05,0.032617342879872835,0.004300847121337714,0.02831649575853512
1996-02-29,640.43,5.02,0.006933744221879756,0.0039474620727109055,0.0029862821491688507
1996-03-31,645.5,5.13,0.007916556063894742,0.004256619990140154,0.0036599360737545883
1996-04-30,654.17,5.14,0.01343144848954303,0.004451095096492219,0.00898035339305081
1996-05-31,669.12,5.18,0.022853386734335235,0.004508880889588118,0.018344505844747117
1996-06-30,670.63,5.18,0.002256695361071203,0.004160182834504589,-0.001903487473433386
1996-07-31,639.95,5.32,-0.045748027973696266,0.004635622046503363,-0.05038365002019963
1996-08-31,651.99,5.29,0.01881396984139383,0.004539966918844396,0.014274002922549434
1996-09-30,687.33,5.14,0.054203285326462014,0.0041649634226448295,0.050038321903817184
1996-10-31,705.27,5.17,0.026100999519881096,0.004482179484051274,0.021618820035829822
1996-11-30,757.02,5.13,0.07337615381343321,0.0039048233593266257,0.06947133045410658
1996-12-31,740.74,5.21,-0.021505376344086,0.004208808969984323,-0.025714185314070322
1997-01-31,786.16,5.15,0.06131706131706127,0.004313597634232558,0.057003463682828714
1997-02-28,790.82,5.22,0.005927546555408725,0.003884112292839248,0.002043434262569477
1997-03-31,757.12,5.35,-0.042613995599504406,0.004202413315741671,-0.04681640891524608
1997-04-30,801.34,5.28,0.05840553677092153,0.004641202195355687,0.05376433457556584
1997-05-31,848.28,4.96,0.058576883719769324,0.004339497430004613,0.05423738628976471
1997-06-30,885.14,5.25,0.04345263356438922,0.004234307927162506,0.039218325637226714
1997-07-31,954.31,5.25,0.07814583003818609,0.004544749452461305,0.07360108058572479
1997-08-31,899.47,5.24,-0.057465603420272175,0.004408832787655692,-0.06187443620792787
1997-09-30,947.28,5.06,0.05315352374175908,0.004245862307187487,0.04890766143457159
1997-10-31,914.62,5.21,-0.03447766235959793,0.00447301347384399,-0.03895067583344192
1997-11-30,955.4,5.22,0.044586822942861426,0.0037789492905146993,0.04080787365234673
1997-12-31,970.43,5.36,0.015731630730583923,0.004641202086875795,0.011090428643708128
1998-01-31,980.28,5.19,0.010150139628824384,0.004118352298205341,0.006031787330619043
1998-02-28,1049.34,5.32,0.0704492593952748,0.003950628023731584,0.06649863137154322
1998-03-31,1101.75,5.16,0.04994568014180345,0.004516054479241749,0.0454296256625617
1998-04-30,1111.75,5.0,0.009076469253460397,0.0042442686493737725,0.0048322006040866245
1998-05-31,1090.82,5.03,-0.018826174949404195,0.004087279280952316,-0.02291345423035651
1998-06-30,1133.84,5.1,0.03943822078803106,0.00448297651121643,0.03495524427681463
1998-07-31,1120.67,5.1,-0.011615395470260248,0.00445707284909358,-0.016072468319353828
1998-08-31,957.28,4.96,-0.14579671089616042,0.004209207441185692,-0.1500059183373461
1998-09-30,1017.01,4.37,0.06239553735584158,0.003956641586712051,0.05843889576912953
1998-10-31,1098.67,4.33,0.08029419573062224,0.0033975477350667305,0.07689664799555551
1998-11-30,1163.63,4.57,0.059126034204993294,0.003421803743196117,0.05570423046179718
1998-12-31,1229.23,4.48,0.056375308302467175,0.003933158032060069,0.052442150270407106
1999-01-31,1279.64,4.48,0.04100941239637823,0.003357709723762481,0.03765170267261575
1999-02-28,1238.33,4.66,-0.032282516957894525,0.0034401170355788935,-0.03572263399347342
1999-03-31,1286.37,4.49,0.03879418248770517,0.00417617550150573,0.03461800698619944
1999-04-30,1335.18,4.55,0.037943981902563095,0.003856285983405261,0.034087695919157834
1999-05-31,1301.84,4.66,-0.02497041597387628,0.0036818204516348985,-0.02865223642551118
1999-06-30,1372.71,4.78,0.05443833343575255,0.004124764980151907,0.050313568455600644
1999-07-31,1328.72,4.75,-0.03204609859329355,0.003912030992574644,-0.03595812958586819
1999-08-31,1320.41,4.98,-0.0062541393220543195,0.004263412977899339,-0.010517552299953659
1999-09-30,1282.71,4.88,-0.02855173771783015,0.0040263503076130025,-0.03257808802544315
1999-10-31,1362.93,5.12,0.06253946722174142,0.003990480559051379,0.05854898666269004
1999-11-30,1388.91,5.3,0.01906187405075821,0.004156995629274407,0.014904878421483803
1999-12-31,1469.25,5.33,0.05784392077240419,0.004687040013932053,0.053156880758472136
2000-01-31,1394.46,5.76,-0.05090352220520666,0.004373344749958319,-0.055276866955164976
2000-02-29,1366.42,5.78,-0.020108142219927405,0.0045550645480034735,-0.02466320676793088
2000-03-31,1498.58,5.88,0.09671989578606864,0.005365705604732485,0.09135419018133616
2000-04-30,1452.43,5.82,-0.030795820042973876,0.004398423569119458,-0.035194243612093334
2000-05-31,1420.6,5.63,-0.02191499762467053,0.005246425150208678,-0.027161422774879207
2000-06-30,1454.6,5.88,0.023933549204561366,0.005129978669648372,0.018803570534912994
2000-07-31,1430.83,6.27,-0.016341262202667406,0.00488630510869803,-0.021227567311365436
2000-08-31,1517.68,6.31,0.06069903482594019,0.005745091687559656,0.054953943138380534
2000-09-30,1436.51,6.23,-0.05348294765695016,0.004912218844313587,-0.058395166501263744
2000-10-31,1429.4,6.38,-0.00494949565265812,0.00525875879591986,-0.01020825444857798
2000-11-30,1314.95,6.21,-0.08006856023506369,0.005310206888947455,-0.08537876712401114
2000-12-31,1320.28,5.89,0.004053386060306474,0.004722464771276469,-0.0006690787109699947
2001-01-31,1366.01,4.99,0.034636592238010085,0.004413614094916474,0.03022297814309361
2001-02-28,1239.94,4.85,-0.09229068601254742,0.00378056304536023,-0.09607124905790765
2001-03-31,1160.33,4.3,-0.06420471958320573,0.003967014711723005,-0.06817173429492873
2001-04-30,1249.46,3.95,0.07681435453707142,0.00315232925544473,0.07366202528162669
2001-05-31,1255.82,3.63,0.0050901989659533076,0.003237929653497895,0.0018522693124554124
2001-06-30,1224.38,3.65,-0.02503543501457206,0.002975238776347977,-0.028010673790920038
2001-07-31,1211.23,3.54,-0.010740129698296408,0.0029987181263568807,-0.013738847824653289
2001-08-31,1133.58,3.37,-0.06410838569057908,0.0031424114088387523,-0.06725079709941784
2001-09-30,1040.94,2.4,-0.08172338961520131,0.0018178204266758868,-0.0835412100418772
2001-10-31,1059.78,2.05,0.01809902588045409,0.0019204086745219229,0.016178617205932166
2001-11-30,1139.45,1.78,0.07517597992036085,0.0015141831297276198,0.07366179679063323
2001-12-31,1148.08,1.74,0.007573829479134542,0.0013659648470119024,0.006207864632122639
2002-01-31,1130.2,1.76,-0.015573827607832104,0.0014049072301267618,-0.016978734837958864
2002-02-28,1106.73,1.79,-0.020766236064413413,0.0013254346136657436,-0.022091670678079156
2002-03-31,1147.39,1.79,0.03673886133022508,0.0014494096189965333,0.03528945171122855
2002-04-30,1076.92,1.77,-0.06141765223681572,0.0015245208445340275,-0.06294217308134975
2002-05-31,1067.14,1.74,-0.009081454518441444,0.0015380326383060972,-0.01061948715674754
2002-06-30,989.82,1.7,-0.07245534793935193,0.0013755010668730083,-0.07383084900622494
2002-07-31,911.62,1.71,-0.07900426340142652,0.0014971004177997127,-0.08050136381922623
2002-08-31,916.07,1.69,0.004881419889866345,0.001439082711851114,0.003442337178015231
2002-09-30,815.28,1.57,-0.11002434311788412,0.0013174904401354048,-0.11134183355801952
2002-10-31,885.76,1.44,0.08644882739672255,0.0014064987763773296,0.08504232862034522
2002-11-30,936.31,1.22,0.05706963511560681,0.0009464557179534872,0.05612317939765332
2002-12-31,879.82,1.22,-0.06033258215761861,0.0010096120489053728,-0.06134219420652398
2003-01-31,855.7,1.18,-0.027414698461048825,0.0009913406889985321,-0.028406039150047357
2003-02-28,841.15,1.2,-0.01700362276498779,0.0008940291810561884,-0.01789765194604398
2003-03-31,848.18,1.14,0.00835760565891941,0.0009595651528642168,0.007398040506055192
2003-04-30,916.92,1.13,0.08104411799382216,0.0009607567245824011,0.08008336126923976
2003-05-31,963.59,1.11,0.050898660733760925,0.000907137646445344,0.04999152308731558
2003-06-30,974.5,0.9,0.011322242862628284,0.0007804484924591737,0.01054179437016911
2003-07-31,990.31,0.96,0.016223704463827593,0.0008038796742833032,0.01541982478954429
2003-08-31,1008.01,0.98,0.01787319122295039,0.0008078502850721314,0.01706534093787826
2003-09-30,995.97,0.95,-0.011944325949147294,0.0007963335618379475,-0.012740659510985242
2003-10-31,1050.71,0.96,0.054961494824141255,0.0008225449567882404,0.054138949867353015
2003-11-30,1058.2,0.93,0.007128513100665312,0.000680377230349416,0.006448135870315896
2003-12-31,1111.92,0.95,0.05076545076545069,0.0007987170071956928,0.049966733758255
2004-01-31,1131.13,0.92,0.017276422764227698,0.0007149252017761842,0.016561497562451514
2004-02-29,1144.94,0.96,0.012209029908144986,0.0007125419704696601,0.011496487937675326
2004-03-31,1126.21,0.95,-0.016358935839432598,0.0008706003820682096,-0.017229536221500807
2004-04-30,1107.3,0.98,-0.01679082941902499,0.0007987163193219349,-0.017589545738346923
2004-05-31,1120.68,1.08,0.012083446220536588,0.0008253233610706623,0.011258122859465926
