date,regime,regime_name,prob_R0,prob_R1,prob_R2,prob_R3
1991-01-01,2,Stagflation,5.0740407646533234e-05,0.0007565248559016947,0.9967646095510191,0.0024281251854327427
1991-02-01,2,Stagflation,0.11749922248087351,0.11980755636263524,0.5100842111207041,0.25260901003578706
1991-03-01,0,Goldilocks,0.5793515115474702,0.13447913792732571,0.08300318934908305,0.20316616117612096
1991-04-01,0,Goldilocks,0.45973253751446197,0.2078381114403286,0.07138955928833138,0.2610397917568782
1991-05-01,1,Overheating,0.12259452057613292,0.6125284964156813,0.17966092736003617,0.08521605564814966
1991-06-01,3,Slowdown,0.08288320591968772,0.23297532475876018,0.10692266780150038,0.5772188015200517
1991-07-01,3,Slowdown,0.11022826937499315,0.15934053740173001,0.0966005211994418,0.6338306720238349
1991-08-01,3,Slowdown,0.08243933939126433,0.1339656207015835,0.1641125952464976,0.6194824446606546
1991-09-01,2,Stagflation,0.06269518181996293,0.13128202671749933,0.47781693464245,0.3282058568200877
1991-10-01,3,Slowdown,0.10039826318286889,0.051662574979879826,0.12889237007808566,0.7190467917591657
1991-11-01,0,Goldilocks,0.44228239391534335,0.16360572591621825,0.13519005941795453,0.2589218207504837
1991-12-01,3,Slowdown,0.16837071827242509,0.3094504720784306,0.1938869148574088,0.32829189479173543
1992-01-01,3,Slowdown,0.010294646008475503,0.149500087230514,0.3786368420957584,0.4615684246652521
1992-02-01,0,Goldilocks,0.3774750122945506,0.14220744882381978,0.18384484735259,0.29647269152903966
1992-03-01,0,Goldilocks,0.32702951043972445,0.29303113484644894,0.12475940012945701,0.2551799545843696
1992-04-01,1,Overheating,0.22706506681635705,0.40359175206198517,0.15172599825456107,0.2176171828670969
1992-05-01,0,Goldilocks,0.3387848241390172,0.27131050042143423,0.12716609296181525,0.26273858247773335
1992-06-01,0,Goldilocks,0.5748973334745034,0.18905745036776994,0.07197611342134291,0.16406910273638378
1992-07-01,1,Overheating,0.030301728280996563,0.7383389359709228,0.10718271767292058,0.12417661807516005
1992-08-01,0,Goldilocks,0.37923716452986217,0.25798570053709013,0.13142786114363939,0.23134927378940823
1992-09-01,0,Goldilocks,0.5029109507656098,0.23326773849696933,0.09785587278020245,0.1659654379572183
1992-10-01,1,Overheating,0.014309458113054402,0.7170771740063411,0.1546365625738157,0.11397680530678889
1992-11-01,3,Slowdown,0.29632571053507795,0.16947896765395287,0.16879659363448674,0.3653987281764824
1992-12-01,3,Slowdown,0.0064224407489025396,0.030359796009065108,0.1786483955390658,0.7845693677029665
1993-01-01,3,Slowdown,0.00959075247860654,0.008662682076226792,0.4276824407550263,0.5540641246901403
1993-02-01,3,Slowdown,0.0003772898524339833,0.008189384138715025,0.1394233577221828,0.8520099682866681
1993-03-01,3,Slowdown,0.03218987623240001,0.062326171293665744,0.28913555284618386,0.6163483996277505
1993-04-01,3,Slowdown,0.16663374663636174,0.16867950615828575,0.3257608350902216,0.338925912115131
1993-05-01,2,Stagflation,0.044003927954114765,0.1844859481872535,0.5243720326024419,0.24713809125618982
1993-06-01,3,Slowdown,0.0015343090459197812,0.10838859739237357,0.2892025045315749,0.6008745890301317
1993-07-01,3,Slowdown,0.0372732806977698,0.0807303137149896,0.2111438458695627,0.6708525597176779
1993-08-01,0,Goldilocks,0.39182066019349004,0.17845803459496437,0.17225586531874285,0.2574654398928027
1993-09-01,1,Overheating,0.2081281010252666,0.2886857698799885,0.2536676497685179,0.24951847932622698
1993-10-01,1,Overheating,9.852990866851226e-05,0.48491415341158356,0.23487776095844737,0.2801095557213006
1993-11-01,1,Overheating,0.04852172647197234,0.4538050929332611,0.22938877000852229,0.26828441058624425
1993-12-01,1,Overheating,0.0424915853948135,0.3801514425556239,0.33980205837090316,0.23755491367865944
1994-01-01,1,Overheating,0.18208682769273885,0.29053634433887926,0.2764854306019038,0.25089139736647803
1994-02-01,1,Overheating,0.19283570909285083,0.45891518497210737,0.17554584672026732,0.17270325921477453
1994-03-01,1,Overheating,0.08458752197875109,0.5578320978337792,0.1814712653563107,0.17610911483115899
1994-04-01,0,Goldilocks,0.30447830826013966,0.2730105311354408,0.2510119551634004,0.17149920544101915
1994-05-01,0,Goldilocks,0.5412792549894669,0.21449790874759156,0.12040907060980238,0.12381376565313895
1994-06-01,2,Stagflation,0.1930879208646896,0.279251221937804,0.3149618688466267,0.21269898835087964
1994-07-01,2,Stagflation,0.05723561218376909,0.1556293611992791,0.627129174276424,0.16000585234052783
1994-08-01,2,Stagflation,0.20300468765782217,0.1990848292668061,0.34089389734346326,0.2570165857319086
1994-09-01,0,Goldilocks,0.49477300661735846,0.19811926871021351,0.14959121409651796,0.15751651057591004
1994-10-01,0,Goldilocks,0.3934674276140004,0.28234217783102805,0.17766463661066956,0.14652575794430203
