year_month,Interest Rates & Monetary Policy
2020-01,2.4285714285714284
2020-02,2.5806451612903225
2020-03,2.0191387559808613
2020-04,1.9264705882352942
2020-05,1.9622641509433962
2020-06,1.96875
2020-07,1.6226415094339623
2020-08,1.8688524590163935
2020-09,2.126126126126126
2020-10,1.9620253164556962
2020-11,1.7325581395348837
2020-12,1.661764705882353
2021-01,2.0454545454545454
2021-02,1.8981481481481481
2021-03,2.106918238993711
2021-04,2.1466666666666665
2021-05,1.910828025477707
2021-06,1.8993288590604027
2021-07,1.5826086956521739
2021-08,1.725
2021-09,1.8470588235294119
2021-10,2.043103448275862
2021-11,1.7475728155339805
2021-12,2.046153846153846
2022-01,2.2550335570469797
2022-02,2.055045871559633
2022-03,2.1741573033707864
2022-04,2.1826923076923075
2022-05,2.1666666666666665
2022-06,2.240875912408759
2022-07,1.9813432835820894
2022-08,2.24024024024024
2022-09,2.169230769230769
2022-10,2.1346153846153846
2022-11,2.424561403508772
2022-12,2.046511627906977
2023-01,1.9054545454545455
2023-02,2.1753846153846155
2023-03,1.9691211401425177
2023-04,2.0690789473684212
2023-05,2.1491228070175437
2023-06,2.1023391812865495
2023-07,2.152173913043478
2023-08,2.184563758389262
2023-09,2.298449612403101
2023-10,2.564935064935065
2023-11,2.3063063063063063
2023-12,2.359322033898305
2024-01,2.0251798561151078
2024-02,2.3656716417910446
2024-03,2.1641791044776117
2024-04,1.9571045576407506
2024-05,1.958695652173913
2024-06,1.9473684210526316
2024-07,1.7935323383084578
2024-08,1.8436213991769548
2024-09,2.01707779886148
2024-10,1.6196808510638299
2024-11,1.686335403726708
2024-12,1.8201219512195121
2025-01,1.8323699421965318
2025-02,1.5535714285714286
2025-03,1.435483870967742
2025-04,1.5787965616045845
2025-05,1.450199203187251
2025-06,1.436241610738255
2025-07,1.6122994652406417
2025-08,1.3392857142857142
2025-09,1.7637130801687764
2025-10,1.6858006042296072
2025-11,1.5813953488372092
