horizon,model1,model2,dm_statistic,p_value,mean_loss_diff,n_obs
1,TVP-VAR,Static VAR,-2.5789126886591416,0.009911183398077172,-0.008273592285966495,150
3,TVP-VAR,Static VAR,-0.976701923446483,0.32871674265231277,-0.007374666122892692,150
6,TVP-VAR,Static VAR,0.9537790456530899,0.3401954983594484,0.006480984243616789,150
