strategy,sharpe_ratio,annualized_return,annualized_volatility,max_drawdown
2x2 Based,0.8189129586988797,0.0720637312589358,0.0901346727132692,-0.3189260718613251
2x2 Based Benchmark,0.6696455792388579,0.05314470739416244,0.08259866191853622,-0.32412333023517703
HMM Based,0.8073526989922034,0.0647123640353559,0.0819913927414489,-0.2296789220359136
HMM Based Benchmark,0.6945689377123232,0.04944918705052603,0.07352739177616134,-0.29194610768103385
