rank,strategy,annualized_return,sharpe_ratio,annualized_volatility,max_drawdown,total_return
1,hmm_2vars_inflation_market_volatility_k4_actual_based,0.06471236403535596,0.8073526989922034,0.08199139274144895,-0.22967892203591367,3.3647461253951167
2,hmm_2vars_growth_market_volatility_k4_actual_based,0.06416556606305202,0.7968208537034305,0.08247863938095523,-0.22583781481501833,3.312372304535444
3,hmm_2vars_growth_inflation_k4_actual_based,0.06381208907749203,0.800097814161688,0.08163742183473198,-0.23485890743725582,3.2788360935202983
4,hmm_2vars_inflation_monetary_policy_k4_actual_based,0.06307979671343245,0.7915110933047809,0.08164928279092414,-0.2289350247560671,3.2101524318642927
5,hmm_2vars_market_volatility_monetary_policy_k4_actual_based,0.06286177320390274,0.7798965276612259,0.08271345409519343,-0.22924494897623238,3.189908193342734
6,hmm_all_4vars_k4_actual_based,0.06268769545705677,0.7916521238866039,0.0811104972313473,-0.23089764812105987,3.173811419884217
7,hmm_2vars_growth_monetary_policy_k4_actual_based,0.062228006034176664,0.790497079742531,0.08063092623494912,-0.2269350336872281,3.131588575531942
