horizon,coefficient_mean,coefficient_std,t_statistic_mean,t_statistic_std,p_value_mean,r_squared_mean,r_squared_std,n_observations_mean
1,-0.0,0.0021,0.0318,0.9631,0.4747,0.0006,0.0018,374.4667
3,0.0007,0.0025,0.2385,1.0535,0.4584,0.001,0.0036,373.3333
6,0.0009,0.0025,0.3151,1.0607,0.4219,0.0022,0.0038,370.9333
12,0.0007,0.0027,0.2409,1.1288,0.4019,0.0021,0.004,365.8667
