variable,0,1,2,3
10y_2y_spread,0.0009,0.0013,0.0014,0.0019
10y_treasury_const_maturity_rate,-0.0033,-0.0027,-0.0007,-0.0009
PCE_price_index,0.0030,0.0032,-0.0001,0.0009
PPI_inflation,0.0031,0.0036*,0.0002,0.0008
cpi,0.0030,0.0032,-0.0001,0.0009
fed_reserve_discount_rate,-0.0051**,-0.0045**,-0.0034,-0.0045**
fedfunds,-0.0039*,-0.0040*,-0.0024,-0.0033
gdp,0.0029,0.0072**,0.0027,0.0049
industrial_production,0.0003,-0.0002,-0.0024,-0.0021
m2_real_money_supply,0.0028,0.0025,-0.0007,0.0012
nat_fin_condition_indx,0.0013,0.0019,-0.0006,-0.0010
real_gdp,0.0028,0.0063*,0.0016,0.0037
retail_sales,0.0022,0.0024,-0.0011,0.0007
tot_business_inventories,0.0024,0.0031,-0.0005,0.0012
unemployment,0.0020,0.0020,0.0029,0.0014
